model,task_name,distraction_type,suggested_failure_mode,count
llama,rule_based_transformation,conflicting_instruction,schema_violation,10
llama,single_label_classification,irrelevant_suffix,invalid_label,10
llama,extractive_qa,conflicting_instruction,schema_violation,9
llama,multi_label_classification,conflicting_instruction,schema_violation,9
llama,rule_based_transformation,conflicting_instruction,invalid_json_or_extra_text,9
llama,single_label_classification,instruction_in_the_middle,invalid_label,9
llama,information_extraction,conflicting_instruction,invalid_json_or_extra_text,6
llama,single_label_classification,style_distraction,invalid_json_or_extra_text,6
llama,extractive_qa,style_distraction,invalid_json_or_extra_text,5
llama,information_extraction,style_distraction,entity_or_field_mismatch,5
llama,multi_label_classification,style_distraction,invalid_json_or_extra_text,5
llama,rule_based_transformation,instruction_in_the_middle,invalid_json_or_extra_text,5
llama,multi_label_classification,instruction_in_the_middle,wrong_label_set,4
llama,single_label_classification,negation_distraction,invalid_label,4
llama,multi_label_classification,style_distraction,wrong_label_set,3
llama,single_label_classification,instruction_in_the_middle,invalid_json_or_extra_text,3
llama,multi_label_classification,conflicting_instruction,wrong_label_set,2
llama,multi_label_classification,irrelevant_prefix,wrong_label_set,2
llama,multi_label_classification,irrelevant_suffix,wrong_label_set,2
llama,rule_based_transformation,length_stress,invalid_json_or_extra_text,2
llama,single_label_classification,clean,invalid_label,2
llama,single_label_classification,conflicting_instruction,invalid_label,2
llama,single_label_classification,irrelevant_prefix,invalid_label,2
llama,extractive_qa,style_distraction,wrong_span,1
llama,information_extraction,style_distraction,schema_violation,1
llama,multi_label_classification,conflicting_instruction,invalid_json_or_extra_text,1
llama,multi_label_classification,length_stress,wrong_label_set,1
llama,rule_based_transformation,irrelevant_prefix,invalid_json_or_extra_text,1
llama,rule_based_transformation,negation_distraction,invalid_json_or_extra_text,1
llama,single_label_classification,length_stress,invalid_label,1
llama,single_label_classification,style_distraction,invalid_label,1
mistral_base,extractive_qa,instruction_in_the_middle,invalid_json_or_extra_text,100
mistral_base,extractive_qa,negation_distraction,invalid_json_or_extra_text,100
mistral_base,extractive_qa,style_distraction,invalid_json_or_extra_text,100
mistral_base,information_extraction,style_distraction,invalid_json_or_extra_text,100
mistral_base,multi_label_classification,instruction_in_the_middle,invalid_json_or_extra_text,100
mistral_base,multi_label_classification,irrelevant_prefix,invalid_json_or_extra_text,100
mistral_base,multi_label_classification,irrelevant_suffix,invalid_json_or_extra_text,100
mistral_base,multi_label_classification,length_stress,invalid_json_or_extra_text,100
mistral_base,multi_label_classification,style_distraction,invalid_json_or_extra_text,100
mistral_base,rule_based_transformation,negation_distraction,invalid_json_or_extra_text,100
mistral_base,rule_based_transformation,style_distraction,invalid_json_or_extra_text,100
mistral_base,single_label_classification,instruction_in_the_middle,invalid_json_or_extra_text,100
mistral_base,single_label_classification,style_distraction,invalid_json_or_extra_text,100
mistral_base,multi_label_classification,negation_distraction,invalid_json_or_extra_text,99
mistral_base,rule_based_transformation,conflicting_instruction,invalid_json_or_extra_text,99
mistral_base,rule_based_transformation,irrelevant_prefix,invalid_json_or_extra_text,99
mistral_base,rule_based_transformation,length_stress,invalid_json_or_extra_text,99
mistral_base,single_label_classification,negation_distraction,invalid_json_or_extra_text,99
mistral_base,single_label_classification,irrelevant_suffix,invalid_json_or_extra_text,98
mistral_base,extractive_qa,clean,invalid_json_or_extra_text,97
mistral_base,extractive_qa,irrelevant_prefix,invalid_json_or_extra_text,97
mistral_base,extractive_qa,irrelevant_suffix,invalid_json_or_extra_text,97
mistral_base,extractive_qa,length_stress,invalid_json_or_extra_text,97
mistral_base,information_extraction,length_stress,invalid_json_or_extra_text,97
mistral_base,information_extraction,negation_distraction,invalid_json_or_extra_text,97
mistral_base,rule_based_transformation,clean,invalid_json_or_extra_text,97
mistral_base,rule_based_transformation,instruction_in_the_middle,invalid_json_or_extra_text,97
mistral_base,extractive_qa,conflicting_instruction,invalid_json_or_extra_text,96
mistral_base,information_extraction,instruction_in_the_middle,invalid_json_or_extra_text,96
mistral_base,multi_label_classification,conflicting_instruction,invalid_json_or_extra_text,96
mistral_base,single_label_classification,conflicting_instruction,invalid_json_or_extra_text,96
mistral_base,information_extraction,irrelevant_suffix,invalid_json_or_extra_text,95
mistral_base,rule_based_transformation,irrelevant_suffix,invalid_json_or_extra_text,95
mistral_base,single_label_classification,irrelevant_prefix,invalid_json_or_extra_text,95
mistral_base,single_label_classification,length_stress,invalid_json_or_extra_text,95
mistral_base,information_extraction,conflicting_instruction,invalid_json_or_extra_text,94
mistral_base,information_extraction,irrelevant_prefix,invalid_json_or_extra_text,94
mistral_base,multi_label_classification,clean,invalid_json_or_extra_text,93
mistral_base,single_label_classification,clean,invalid_json_or_extra_text,87
mistral_base,information_extraction,clean,invalid_json_or_extra_text,85
mistral_base,information_extraction,clean,parse_failure_empty_output,15
mistral_base,single_label_classification,clean,parse_failure_empty_output,13
mistral_base,multi_label_classification,clean,parse_failure_empty_output,7
mistral_base,information_extraction,conflicting_instruction,parse_failure_empty_output,6
mistral_base,information_extraction,irrelevant_prefix,parse_failure_empty_output,6
mistral_base,information_extraction,irrelevant_suffix,parse_failure_empty_output,5
mistral_base,rule_based_transformation,irrelevant_suffix,parse_failure_empty_output,5
mistral_base,single_label_classification,irrelevant_prefix,parse_failure_empty_output,5
mistral_base,single_label_classification,length_stress,parse_failure_empty_output,5
mistral_base,extractive_qa,conflicting_instruction,parse_failure_empty_output,4
mistral_base,information_extraction,instruction_in_the_middle,parse_failure_empty_output,4
mistral_base,multi_label_classification,conflicting_instruction,parse_failure_empty_output,4
mistral_base,single_label_classification,conflicting_instruction,parse_failure_empty_output,4
mistral_base,extractive_qa,clean,parse_failure_empty_output,3
mistral_base,extractive_qa,irrelevant_prefix,parse_failure_empty_output,3
mistral_base,extractive_qa,irrelevant_suffix,parse_failure_empty_output,3
mistral_base,extractive_qa,length_stress,parse_failure_empty_output,3
mistral_base,information_extraction,length_stress,parse_failure_empty_output,3
mistral_base,information_extraction,negation_distraction,parse_failure_empty_output,3
mistral_base,rule_based_transformation,instruction_in_the_middle,parse_failure_empty_output,3
mistral_base,rule_based_transformation,clean,parse_failure_empty_output,2
mistral_base,single_label_classification,irrelevant_suffix,parse_failure_empty_output,2
mistral_base,multi_label_classification,negation_distraction,parse_failure_empty_output,1
mistral_base,rule_based_transformation,clean,transformation_mismatch,1
mistral_base,rule_based_transformation,conflicting_instruction,parse_failure_empty_output,1
mistral_base,rule_based_transformation,irrelevant_prefix,parse_failure_empty_output,1
mistral_base,rule_based_transformation,length_stress,transformation_mismatch,1
mistral_base,single_label_classification,negation_distraction,parse_failure_empty_output,1
mistral_instruct,multi_label_classification,irrelevant_suffix,invalid_label,91
mistral_instruct,multi_label_classification,instruction_in_the_middle,invalid_label,84
mistral_instruct,rule_based_transformation,style_distraction,transformation_mismatch,83
mistral_instruct,rule_based_transformation,irrelevant_suffix,transformation_mismatch,80
mistral_instruct,multi_label_classification,length_stress,invalid_label,78
mistral_instruct,information_extraction,style_distraction,invalid_json_or_extra_text,77
mistral_instruct,rule_based_transformation,instruction_in_the_middle,transformation_mismatch,76
mistral_instruct,rule_based_transformation,negation_distraction,transformation_mismatch,74
mistral_instruct,rule_based_transformation,clean,transformation_mismatch,73
mistral_instruct,rule_based_transformation,irrelevant_prefix,transformation_mismatch,72
mistral_instruct,multi_label_classification,irrelevant_prefix,invalid_label,71
mistral_instruct,rule_based_transformation,length_stress,transformation_mismatch,71
mistral_instruct,multi_label_classification,negation_distraction,invalid_label,67
mistral_instruct,multi_label_classification,clean,invalid_label,66
mistral_instruct,extractive_qa,style_distraction,span_inflation,64
mistral_instruct,multi_label_classification,style_distraction,invalid_json_or_extra_text,57
mistral_instruct,information_extraction,conflicting_instruction,invalid_json_or_extra_text,49
mistral_instruct,rule_based_transformation,conflicting_instruction,transformation_mismatch,49
mistral_instruct,multi_label_classification,conflicting_instruction,invalid_label,39
mistral_instruct,multi_label_classification,conflicting_instruction,invalid_json_or_extra_text,36
mistral_instruct,rule_based_transformation,conflicting_instruction,invalid_json_or_extra_text,31
mistral_instruct,multi_label_classification,style_distraction,invalid_label,28
mistral_instruct,extractive_qa,conflicting_instruction,invalid_json_or_extra_text,27
mistral_instruct,single_label_classification,conflicting_instruction,invalid_json_or_extra_text,27
mistral_instruct,single_label_classification,style_distraction,invalid_json_or_extra_text,24
mistral_instruct,single_label_classification,style_distraction,invalid_label,20
mistral_instruct,information_extraction,conflicting_instruction,schema_violation,15
mistral_instruct,extractive_qa,style_distraction,invalid_json_or_extra_text,11
mistral_instruct,extractive_qa,conflicting_instruction,span_inflation,10
mistral_instruct,extractive_qa,negation_distraction,span_inflation,10
mistral_instruct,multi_label_classification,clean,wrong_label_set,9
mistral_instruct,multi_label_classification,conflicting_instruction,schema_violation,9
mistral_instruct,rule_based_transformation,style_distraction,invalid_json_or_extra_text,9
mistral_instruct,rule_based_transformation,conflicting_instruction,schema_violation,8
mistral_instruct,extractive_qa,conflicting_instruction,schema_violation,7
mistral_instruct,extractive_qa,instruction_in_the_middle,span_inflation,7
mistral_instruct,extractive_qa,irrelevant_suffix,span_inflation,7
mistral_instruct,multi_label_classification,negation_distraction,wrong_label_set,7
mistral_instruct,single_label_classification,conflicting_instruction,invalid_label,7
mistral_instruct,information_extraction,irrelevant_suffix,entity_or_field_mismatch,6
mistral_instruct,information_extraction,style_distraction,entity_or_field_mismatch,6
mistral_instruct,single_label_classification,instruction_in_the_middle,invalid_label,6
mistral_instruct,single_label_classification,irrelevant_suffix,invalid_label,6
mistral_instruct,extractive_qa,irrelevant_prefix,span_inflation,5
mistral_instruct,extractive_qa,length_stress,wrong_span,5
mistral_instruct,extractive_qa,clean,span_inflation,4
mistral_instruct,extractive_qa,length_stress,span_inflation,4
mistral_instruct,single_label_classification,conflicting_instruction,schema_violation,4
mistral_instruct,single_label_classification,irrelevant_prefix,invalid_label,4
mistral_instruct,extractive_qa,conflicting_instruction,wrong_span,3
mistral_instruct,extractive_qa,instruction_in_the_middle,wrong_span,3
mistral_instruct,information_extraction,instruction_in_the_middle,entity_or_field_mismatch,3
mistral_instruct,rule_based_transformation,irrelevant_suffix,invalid_json_or_extra_text,3
mistral_instruct,extractive_qa,clean,wrong_span,2
mistral_instruct,extractive_qa,instruction_in_the_middle,case_or_surface_mismatch,2
mistral_instruct,extractive_qa,irrelevant_prefix,case_or_surface_mismatch,2
mistral_instruct,extractive_qa,irrelevant_prefix,wrong_span,2
mistral_instruct,extractive_qa,irrelevant_suffix,case_or_surface_mismatch,2
mistral_instruct,multi_label_classification,style_distraction,wrong_label_set,2
mistral_instruct,rule_based_transformation,clean,invalid_json_or_extra_text,2
mistral_instruct,rule_based_transformation,irrelevant_prefix,invalid_json_or_extra_text,2
mistral_instruct,rule_based_transformation,length_stress,invalid_json_or_extra_text,2
mistral_instruct,single_label_classification,clean,invalid_label,2
mistral_instruct,single_label_classification,length_stress,invalid_label,2
mistral_instruct,extractive_qa,irrelevant_suffix,wrong_span,1
mistral_instruct,extractive_qa,negation_distraction,wrong_span,1
mistral_instruct,information_extraction,clean,entity_or_field_mismatch,1
mistral_instruct,information_extraction,length_stress,invalid_json_or_extra_text,1
mistral_instruct,information_extraction,negation_distraction,entity_or_field_mismatch,1
mistral_instruct,information_extraction,style_distraction,schema_violation,1
mistral_instruct,multi_label_classification,instruction_in_the_middle,invalid_json_or_extra_text,1
mistral_instruct,multi_label_classification,irrelevant_prefix,invalid_json_or_extra_text,1
mistral_instruct,multi_label_classification,irrelevant_suffix,invalid_json_or_extra_text,1
mistral_instruct,multi_label_classification,irrelevant_suffix,wrong_label_set,1
mistral_instruct,rule_based_transformation,instruction_in_the_middle,invalid_json_or_extra_text,1
mistral_instruct,rule_based_transformation,irrelevant_prefix,schema_violation,1
mistral_instruct,rule_based_transformation,negation_distraction,invalid_json_or_extra_text,1
mistral_instruct,single_label_classification,negation_distraction,invalid_label,1
qwen14b,extractive_qa,style_distraction,span_inflation,80
qwen14b,rule_based_transformation,style_distraction,transformation_mismatch,70
qwen14b,rule_based_transformation,irrelevant_suffix,transformation_mismatch,68
qwen14b,multi_label_classification,irrelevant_prefix,invalid_label,65
qwen14b,multi_label_classification,instruction_in_the_middle,invalid_label,63
qwen14b,multi_label_classification,irrelevant_suffix,invalid_label,63
qwen14b,rule_based_transformation,instruction_in_the_middle,transformation_mismatch,63
qwen14b,multi_label_classification,length_stress,invalid_label,60
qwen14b,multi_label_classification,style_distraction,invalid_label,59
qwen14b,multi_label_classification,clean,invalid_label,58
qwen14b,multi_label_classification,negation_distraction,invalid_label,57
qwen14b,rule_based_transformation,irrelevant_prefix,transformation_mismatch,56
qwen14b,rule_based_transformation,negation_distraction,transformation_mismatch,54
qwen14b,rule_based_transformation,clean,transformation_mismatch,49
qwen14b,rule_based_transformation,conflicting_instruction,transformation_mismatch,49
qwen14b,multi_label_classification,conflicting_instruction,invalid_label,46
qwen14b,rule_based_transformation,length_stress,transformation_mismatch,43
qwen14b,extractive_qa,conflicting_instruction,span_inflation,24
qwen14b,information_extraction,conflicting_instruction,invalid_json_or_extra_text,23
qwen14b,extractive_qa,clean,span_inflation,21
qwen14b,extractive_qa,conflicting_instruction,invalid_json_or_extra_text,20
qwen14b,extractive_qa,irrelevant_prefix,span_inflation,20
qwen14b,extractive_qa,irrelevant_suffix,span_inflation,20
qwen14b,extractive_qa,instruction_in_the_middle,span_inflation,18
qwen14b,extractive_qa,length_stress,span_inflation,17
qwen14b,single_label_classification,instruction_in_the_middle,invalid_label,15
qwen14b,information_extraction,conflicting_instruction,schema_violation,14
qwen14b,information_extraction,style_distraction,entity_or_field_mismatch,14
qwen14b,rule_based_transformation,conflicting_instruction,schema_violation,14
qwen14b,single_label_classification,conflicting_instruction,invalid_json_or_extra_text,12
qwen14b,single_label_classification,irrelevant_suffix,invalid_label,12
qwen14b,extractive_qa,negation_distraction,span_inflation,11
qwen14b,multi_label_classification,conflicting_instruction,invalid_json_or_extra_text,11
qwen14b,single_label_classification,conflicting_instruction,schema_violation,9
qwen14b,extractive_qa,conflicting_instruction,schema_violation,8
qwen14b,rule_based_transformation,conflicting_instruction,invalid_json_or_extra_text,7
qwen14b,rule_based_transformation,length_stress,invalid_json_or_extra_text,6
qwen14b,single_label_classification,conflicting_instruction,invalid_label,6
qwen14b,single_label_classification,negation_distraction,invalid_label,5
qwen14b,extractive_qa,style_distraction,invalid_json_or_extra_text,4
qwen14b,information_extraction,irrelevant_prefix,entity_or_field_mismatch,4
qwen14b,multi_label_classification,conflicting_instruction,schema_violation,4
qwen14b,single_label_classification,irrelevant_prefix,invalid_label,4
qwen14b,extractive_qa,conflicting_instruction,wrong_span,3
qwen14b,information_extraction,instruction_in_the_middle,entity_or_field_mismatch,3
qwen14b,information_extraction,length_stress,entity_or_field_mismatch,3
qwen14b,multi_label_classification,instruction_in_the_middle,wrong_label_set,3
qwen14b,multi_label_classification,negation_distraction,wrong_label_set,3
qwen14b,rule_based_transformation,instruction_in_the_middle,invalid_json_or_extra_text,3
qwen14b,single_label_classification,clean,invalid_label,3
qwen14b,single_label_classification,style_distraction,invalid_label,3
qwen14b,rule_based_transformation,irrelevant_prefix,invalid_json_or_extra_text,2
qwen14b,rule_based_transformation,irrelevant_suffix,invalid_json_or_extra_text,2
qwen14b,single_label_classification,length_stress,invalid_label,2
qwen14b,information_extraction,clean,entity_or_field_mismatch,1
qwen14b,information_extraction,conflicting_instruction,entity_or_field_mismatch,1
qwen14b,information_extraction,irrelevant_suffix,entity_or_field_mismatch,1
qwen14b,information_extraction,negation_distraction,entity_or_field_mismatch,1
qwen14b,rule_based_transformation,clean,invalid_json_or_extra_text,1
qwen7b,extractive_qa,style_distraction,span_inflation,80
qwen7b,multi_label_classification,instruction_in_the_middle,invalid_label,65
qwen7b,rule_based_transformation,instruction_in_the_middle,transformation_mismatch,61
qwen7b,rule_based_transformation,irrelevant_suffix,transformation_mismatch,60
qwen7b,multi_label_classification,negation_distraction,invalid_label,59
qwen7b,rule_based_transformation,negation_distraction,transformation_mismatch,59
qwen7b,rule_based_transformation,style_distraction,transformation_mismatch,59
qwen7b,multi_label_classification,irrelevant_suffix,invalid_label,58
qwen7b,multi_label_classification,length_stress,invalid_label,58
qwen7b,multi_label_classification,style_distraction,invalid_label,58
qwen7b,rule_based_transformation,length_stress,transformation_mismatch,58
qwen7b,multi_label_classification,clean,invalid_label,54
qwen7b,rule_based_transformation,irrelevant_prefix,transformation_mismatch,54
qwen7b,multi_label_classification,irrelevant_prefix,invalid_label,51
qwen7b,rule_based_transformation,conflicting_instruction,transformation_mismatch,51
qwen7b,multi_label_classification,conflicting_instruction,invalid_label,49
qwen7b,rule_based_transformation,clean,transformation_mismatch,48
qwen7b,extractive_qa,instruction_in_the_middle,empty_answer,22
qwen7b,extractive_qa,conflicting_instruction,span_inflation,21
qwen7b,extractive_qa,irrelevant_prefix,span_inflation,21
qwen7b,information_extraction,conflicting_instruction,schema_violation,20
qwen7b,extractive_qa,clean,span_inflation,18
qwen7b,extractive_qa,length_stress,span_inflation,17
qwen7b,information_extraction,conflicting_instruction,invalid_json_or_extra_text,17
qwen7b,single_label_classification,instruction_in_the_middle,invalid_label,16
qwen7b,extractive_qa,irrelevant_suffix,span_inflation,13
qwen7b,extractive_qa,negation_distraction,span_inflation,13
qwen7b,information_extraction,negation_distraction,entity_or_field_mismatch,13
qwen7b,information_extraction,style_distraction,entity_or_field_mismatch,12
qwen7b,single_label_classification,conflicting_instruction,schema_violation,12
qwen7b,rule_based_transformation,conflicting_instruction,schema_violation,11
qwen7b,extractive_qa,instruction_in_the_middle,span_inflation,10
qwen7b,multi_label_classification,instruction_in_the_middle,wrong_label_set,9
qwen7b,rule_based_transformation,irrelevant_prefix,invalid_json_or_extra_text,9
qwen7b,rule_based_transformation,style_distraction,invalid_json_or_extra_text,9
qwen7b,single_label_classification,irrelevant_suffix,invalid_label,9
qwen7b,single_label_classification,style_distraction,invalid_label,9
qwen7b,extractive_qa,conflicting_instruction,schema_violation,8
qwen7b,information_extraction,instruction_in_the_middle,entity_or_field_mismatch,7
qwen7b,information_extraction,irrelevant_prefix,entity_or_field_mismatch,7
qwen7b,multi_label_classification,conflicting_instruction,schema_violation,7
qwen7b,rule_based_transformation,instruction_in_the_middle,invalid_json_or_extra_text,7
qwen7b,single_label_classification,irrelevant_prefix,invalid_label,7
qwen7b,extractive_qa,conflicting_instruction,wrong_span,6
qwen7b,multi_label_classification,conflicting_instruction,invalid_json_or_extra_text,6
qwen7b,rule_based_transformation,clean,invalid_json_or_extra_text,6
qwen7b,rule_based_transformation,length_stress,invalid_json_or_extra_text,6
qwen7b,single_label_classification,conflicting_instruction,invalid_label,6
qwen7b,multi_label_classification,irrelevant_suffix,wrong_label_set,5
qwen7b,rule_based_transformation,conflicting_instruction,invalid_json_or_extra_text,5
qwen7b,rule_based_transformation,irrelevant_suffix,invalid_json_or_extra_text,5
qwen7b,single_label_classification,negation_distraction,invalid_label,5
qwen7b,rule_based_transformation,negation_distraction,invalid_json_or_extra_text,4
qwen7b,single_label_classification,length_stress,invalid_label,4
qwen7b,extractive_qa,conflicting_instruction,invalid_json_or_extra_text,3
qwen7b,extractive_qa,length_stress,empty_answer,3
qwen7b,extractive_qa,style_distraction,wrong_span,3
qwen7b,information_extraction,irrelevant_suffix,entity_or_field_mismatch,3
qwen7b,multi_label_classification,conflicting_instruction,wrong_label_set,3
qwen7b,multi_label_classification,length_stress,wrong_label_set,3
qwen7b,extractive_qa,irrelevant_prefix,empty_answer,2
qwen7b,extractive_qa,irrelevant_suffix,empty_answer,2
qwen7b,single_label_classification,clean,invalid_label,2
qwen7b,single_label_classification,conflicting_instruction,invalid_json_or_extra_text,2
qwen7b,extractive_qa,length_stress,case_or_surface_mismatch,1
qwen7b,extractive_qa,style_distraction,invalid_json_or_extra_text,1
qwen7b,information_extraction,clean,entity_or_field_mismatch,1
qwen7b,information_extraction,conflicting_instruction,entity_or_field_mismatch,1
qwen7b,multi_label_classification,clean,wrong_label_set,1
qwen7b,multi_label_classification,irrelevant_prefix,wrong_label_set,1
qwen7b,multi_label_classification,negation_distraction,wrong_label_set,1
