model,prompt_id,regime,distraction_type,gold_answer,pred_answer,raw_output
gemma,qa_248__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__unbounded__conflicting_instruction,unbounded,conflicting_instruction,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__unbounded__negation_distraction,unbounded,negation_distraction,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__unbounded__style_distraction,unbounded,style_distraction,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_248__unbounded__length_stress,unbounded,length_stress,fitness watch,a fitness watch,"{""answer"": ""a fitness watch""}"
gemma,qa_249__bounded__clean,bounded,clean,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__bounded__irrelevant_prefix,bounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
gemma,qa_249__bounded__irrelevant_suffix,bounded,irrelevant_suffix,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,security platform,the security platform,"{""answer"": ""the security platform""}"
gemma,qa_249__bounded__conflicting_instruction,bounded,conflicting_instruction,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__bounded__negation_distraction,bounded,negation_distraction,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__bounded__style_distraction,bounded,style_distraction,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__bounded__length_stress,bounded,length_stress,security platform,the security platform,"{""answer"": ""the security platform""}"
gemma,qa_249__unbounded__clean,unbounded,clean,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
gemma,qa_249__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,security platform,the security platform,"{""answer"": ""the security platform""}"
gemma,qa_249__unbounded__negation_distraction,unbounded,negation_distraction,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__unbounded__style_distraction,unbounded,style_distraction,security platform,a security platform,"{""answer"": ""a security platform""}"
gemma,qa_249__unbounded__length_stress,unbounded,length_stress,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_238__bounded__clean,bounded,clean,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__bounded__irrelevant_prefix,bounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__bounded__irrelevant_suffix,bounded,irrelevant_suffix,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__bounded__style_distraction,bounded,style_distraction,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__bounded__length_stress,bounded,length_stress,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__unbounded__style_distraction,unbounded,style_distraction,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_238__unbounded__length_stress,unbounded,length_stress,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_239__bounded__clean,bounded,clean,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__bounded__irrelevant_prefix,bounded,irrelevant_prefix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__bounded__conflicting_instruction,bounded,conflicting_instruction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__bounded__style_distraction,bounded,style_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__bounded__length_stress,bounded,length_stress,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__unbounded__clean,unbounded,clean,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__unbounded__conflicting_instruction,unbounded,conflicting_instruction,solar battery,a solar battery,"{""answer"": ""a solar battery""}"
llama,qa_239__unbounded__negation_distraction,unbounded,negation_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__unbounded__style_distraction,unbounded,style_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_239__unbounded__length_stress,unbounded,length_stress,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_240__bounded__style_distraction,bounded,style_distraction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_240__unbounded__style_distraction,unbounded,style_distraction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_240__unbounded__length_stress,unbounded,length_stress,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_241__bounded__irrelevant_prefix,bounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__bounded__irrelevant_suffix,bounded,irrelevant_suffix,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__bounded__conflicting_instruction,bounded,conflicting_instruction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__bounded__style_distraction,bounded,style_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__unbounded__clean,unbounded,clean,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__unbounded__conflicting_instruction,unbounded,conflicting_instruction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__unbounded__negation_distraction,unbounded,negation_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__unbounded__style_distraction,unbounded,style_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_241__unbounded__length_stress,unbounded,length_stress,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_242__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
llama,qa_242__bounded__style_distraction,bounded,style_distraction,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
llama,qa_242__bounded__length_stress,bounded,length_stress,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
llama,qa_242__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
llama,qa_242__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
llama,qa_242__unbounded__style_distraction,unbounded,style_distraction,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
llama,qa_242__unbounded__length_stress,unbounded,length_stress,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
llama,qa_243__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
llama,qa_243__unbounded__conflicting_instruction,unbounded,conflicting_instruction,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
llama,qa_243__unbounded__style_distraction,unbounded,style_distraction,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
llama,qa_244__bounded__clean,bounded,clean,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__bounded__irrelevant_prefix,bounded,irrelevant_prefix,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__bounded__irrelevant_suffix,bounded,irrelevant_suffix,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__bounded__conflicting_instruction,bounded,conflicting_instruction,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__bounded__negation_distraction,bounded,negation_distraction,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__bounded__style_distraction,bounded,style_distraction,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__bounded__length_stress,bounded,length_stress,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__unbounded__clean,unbounded,clean,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__unbounded__conflicting_instruction,unbounded,conflicting_instruction,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__unbounded__style_distraction,unbounded,style_distraction,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_244__unbounded__length_stress,unbounded,length_stress,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
llama,qa_245__bounded__clean,bounded,clean,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__bounded__irrelevant_prefix,bounded,irrelevant_prefix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__bounded__irrelevant_suffix,bounded,irrelevant_suffix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__bounded__conflicting_instruction,bounded,conflicting_instruction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__bounded__negation_distraction,bounded,negation_distraction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__bounded__style_distraction,bounded,style_distraction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__bounded__length_stress,bounded,length_stress,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__unbounded__clean,unbounded,clean,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__unbounded__conflicting_instruction,unbounded,conflicting_instruction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__unbounded__negation_distraction,unbounded,negation_distraction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__unbounded__style_distraction,unbounded,style_distraction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_245__unbounded__length_stress,unbounded,length_stress,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
llama,qa_246__bounded__clean,bounded,clean,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__bounded__irrelevant_prefix,bounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__bounded__irrelevant_suffix,bounded,irrelevant_suffix,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__bounded__conflicting_instruction,bounded,conflicting_instruction,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__bounded__style_distraction,bounded,style_distraction,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__bounded__length_stress,bounded,length_stress,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__unbounded__clean,unbounded,clean,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__unbounded__conflicting_instruction,unbounded,conflicting_instruction,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__unbounded__negation_distraction,unbounded,negation_distraction,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_246__unbounded__style_distraction,unbounded,style_distraction,medical software,the medical software,"{""answer"": ""the medical software""}"
llama,qa_247__bounded__clean,bounded,clean,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__bounded__irrelevant_prefix,bounded,irrelevant_prefix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__bounded__irrelevant_suffix,bounded,irrelevant_suffix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__bounded__conflicting_instruction,bounded,conflicting_instruction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__bounded__negation_distraction,bounded,negation_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__bounded__style_distraction,bounded,style_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__unbounded__clean,unbounded,clean,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__unbounded__negation_distraction,unbounded,negation_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__unbounded__style_distraction,unbounded,style_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_247__unbounded__length_stress,unbounded,length_stress,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
llama,qa_248__bounded__clean,bounded,clean,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__bounded__irrelevant_prefix,bounded,irrelevant_prefix,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__bounded__irrelevant_suffix,bounded,irrelevant_suffix,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__bounded__conflicting_instruction,bounded,conflicting_instruction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__bounded__negation_distraction,bounded,negation_distraction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__bounded__style_distraction,bounded,style_distraction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__unbounded__clean,unbounded,clean,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__unbounded__conflicting_instruction,unbounded,conflicting_instruction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__unbounded__negation_distraction,unbounded,negation_distraction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__unbounded__style_distraction,unbounded,style_distraction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_248__unbounded__length_stress,unbounded,length_stress,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
llama,qa_249__bounded__clean,bounded,clean,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__bounded__irrelevant_prefix,bounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__bounded__irrelevant_suffix,bounded,irrelevant_suffix,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__bounded__conflicting_instruction,bounded,conflicting_instruction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__bounded__negation_distraction,bounded,negation_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__bounded__style_distraction,bounded,style_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__bounded__length_stress,bounded,length_stress,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__unbounded__clean,unbounded,clean,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__unbounded__conflicting_instruction,unbounded,conflicting_instruction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__unbounded__negation_distraction,unbounded,negation_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__unbounded__style_distraction,unbounded,style_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
llama,qa_249__unbounded__length_stress,unbounded,length_stress,security platform,the security platform,"{""answer"": ""the security platform""}"
mistral_instruct,qa_200__bounded__irrelevant_prefix,bounded,irrelevant_prefix,BlueRiver Health,Blueriver Health,"{""answer"": ""Blueriver Health""}"
mistral_instruct,qa_200__bounded__irrelevant_suffix,bounded,irrelevant_suffix,BlueRiver Health,blueriver health,"{""answer"": ""blueriver health""}"
mistral_instruct,qa_200__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,BlueRiver Health,Blueriver Health,"{""answer"": ""Blueriver Health""}"
mistral_instruct,qa_200__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,BlueRiver Health,Blueriver Health,"{""answer"": ""Blueriver Health""}"
mistral_instruct,qa_200__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,BlueRiver Health,blueriver health,"{""answer"": ""blueriver health""}"
mistral_instruct,qa_200__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,BlueRiver Health,Blueriver Health,"{""answer"": ""Blueriver Health""}"
mistral_instruct,qa_245__bounded__clean,bounded,clean,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
mistral_instruct,qa_245__bounded__irrelevant_suffix,bounded,irrelevant_suffix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_202__bounded__length_stress,bounded,length_stress,BlueRiver Health,Blueriver Health,"{""answer"": ""Blueriver Health""}"
qwen7b,qa_238__bounded__clean,bounded,clean,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_238__bounded__irrelevant_prefix,bounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_238__bounded__conflicting_instruction,bounded,conflicting_instruction,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_238__bounded__length_stress,bounded,length_stress,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_238__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_239__bounded__irrelevant_prefix,bounded,irrelevant_prefix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_239__bounded__conflicting_instruction,bounded,conflicting_instruction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_239__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_239__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_239__unbounded__conflicting_instruction,unbounded,conflicting_instruction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_240__unbounded__style_distraction,unbounded,style_distraction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_241__bounded__clean,bounded,clean,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__bounded__conflicting_instruction,bounded,conflicting_instruction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__bounded__negation_distraction,bounded,negation_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__clean,unbounded,clean,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__conflicting_instruction,unbounded,conflicting_instruction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__negation_distraction,unbounded,negation_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_241__unbounded__length_stress,unbounded,length_stress,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_242__bounded__clean,bounded,clean,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__bounded__irrelevant_prefix,bounded,irrelevant_prefix,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__bounded__conflicting_instruction,bounded,conflicting_instruction,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__bounded__style_distraction,bounded,style_distraction,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__clean,unbounded,clean,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__conflicting_instruction,unbounded,conflicting_instruction,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__negation_distraction,unbounded,negation_distraction,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_242__unbounded__length_stress,unbounded,length_stress,analytics dashboard,the analytics dashboard,"{""answer"": ""the analytics dashboard""}"
qwen7b,qa_243__bounded__clean,bounded,clean,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__bounded__irrelevant_prefix,bounded,irrelevant_prefix,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__bounded__irrelevant_suffix,bounded,irrelevant_suffix,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__bounded__conflicting_instruction,bounded,conflicting_instruction,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__bounded__negation_distraction,bounded,negation_distraction,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__bounded__length_stress,bounded,length_stress,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
