model,model_display,qa_failure_category,count
qwen7b,Llama-3.1-8B-Instruct,article_case_punctuation_near_miss,0
qwen7b,Llama-3.1-8B-Instruct,empty_answer,0
qwen7b,Llama-3.1-8B-Instruct,empty_output,0
qwen7b,Llama-3.1-8B-Instruct,extra_key,0
qwen7b,Llama-3.1-8B-Instruct,invalid_json,0
qwen7b,Llama-3.1-8B-Instruct,missing_key,0
qwen7b,Llama-3.1-8B-Instruct,normalized_span_inflation_contains_gold,0
qwen7b,Llama-3.1-8B-Instruct,span_inflation_contains_gold,0
qwen7b,Llama-3.1-8B-Instruct,strict_correct,0
qwen7b,Llama-3.1-8B-Instruct,wrong_schema,0
qwen7b,Llama-3.1-8B-Instruct,wrong_span,0
qwen7b,Llama-3.1-8B-Instruct,wrong_type,0
qwen7b,Mistral-7B-Instruct-v0.3,article_case_punctuation_near_miss,0
qwen7b,Mistral-7B-Instruct-v0.3,empty_answer,0
qwen7b,Mistral-7B-Instruct-v0.3,empty_output,0
qwen7b,Mistral-7B-Instruct-v0.3,extra_key,0
qwen7b,Mistral-7B-Instruct-v0.3,invalid_json,0
qwen7b,Mistral-7B-Instruct-v0.3,missing_key,0
qwen7b,Mistral-7B-Instruct-v0.3,normalized_span_inflation_contains_gold,0
qwen7b,Mistral-7B-Instruct-v0.3,span_inflation_contains_gold,0
qwen7b,Mistral-7B-Instruct-v0.3,strict_correct,0
qwen7b,Mistral-7B-Instruct-v0.3,wrong_schema,0
qwen7b,Mistral-7B-Instruct-v0.3,wrong_span,0
qwen7b,Mistral-7B-Instruct-v0.3,wrong_type,0
qwen7b,Mistral-7B-v0.3 Base,article_case_punctuation_near_miss,0
qwen7b,Mistral-7B-v0.3 Base,empty_answer,0
qwen7b,Mistral-7B-v0.3 Base,empty_output,0
qwen7b,Mistral-7B-v0.3 Base,extra_key,0
qwen7b,Mistral-7B-v0.3 Base,invalid_json,0
qwen7b,Mistral-7B-v0.3 Base,missing_key,0
qwen7b,Mistral-7B-v0.3 Base,normalized_span_inflation_contains_gold,0
qwen7b,Mistral-7B-v0.3 Base,span_inflation_contains_gold,0
qwen7b,Mistral-7B-v0.3 Base,strict_correct,0
qwen7b,Mistral-7B-v0.3 Base,wrong_schema,0
qwen7b,Mistral-7B-v0.3 Base,wrong_span,0
qwen7b,Mistral-7B-v0.3 Base,wrong_type,0
qwen7b,Qwen2.5-14B-Instruct,article_case_punctuation_near_miss,0
qwen7b,Qwen2.5-14B-Instruct,empty_answer,0
qwen7b,Qwen2.5-14B-Instruct,empty_output,0
qwen7b,Qwen2.5-14B-Instruct,extra_key,0
qwen7b,Qwen2.5-14B-Instruct,invalid_json,0
qwen7b,Qwen2.5-14B-Instruct,missing_key,0
qwen7b,Qwen2.5-14B-Instruct,normalized_span_inflation_contains_gold,0
qwen7b,Qwen2.5-14B-Instruct,span_inflation_contains_gold,0
qwen7b,Qwen2.5-14B-Instruct,strict_correct,0
qwen7b,Qwen2.5-14B-Instruct,wrong_schema,0
qwen7b,Qwen2.5-14B-Instruct,wrong_span,0
qwen7b,Qwen2.5-14B-Instruct,wrong_type,0
qwen7b,Qwen2.5-7B-Instruct,empty_output,0
qwen7b,Qwen2.5-7B-Instruct,extra_key,0
qwen7b,Qwen2.5-7B-Instruct,wrong_type,0
llama,Llama-3.1-8B-Instruct,strict_correct,598
llama,Llama-3.1-8B-Instruct,article_case_punctuation_near_miss,135
llama,Llama-3.1-8B-Instruct,span_inflation_contains_gold,52
llama,Llama-3.1-8B-Instruct,missing_key,8
llama,Llama-3.1-8B-Instruct,invalid_json,5
llama,Llama-3.1-8B-Instruct,wrong_schema,1
llama,Llama-3.1-8B-Instruct,wrong_span,1
llama,Gemma-2-9B-it,article_case_punctuation_near_miss,0
llama,Gemma-2-9B-it,empty_answer,0
llama,Gemma-2-9B-it,empty_output,0
llama,Gemma-2-9B-it,extra_key,0
llama,Gemma-2-9B-it,invalid_json,0
llama,Gemma-2-9B-it,missing_key,0
llama,Gemma-2-9B-it,normalized_span_inflation_contains_gold,0
llama,Gemma-2-9B-it,span_inflation_contains_gold,0
llama,Gemma-2-9B-it,strict_correct,0
llama,Gemma-2-9B-it,wrong_schema,0
llama,Gemma-2-9B-it,wrong_span,0
llama,Gemma-2-9B-it,wrong_type,0
llama,Llama-3.1-8B-Instruct,empty_answer,0
llama,Llama-3.1-8B-Instruct,empty_output,0
llama,Llama-3.1-8B-Instruct,extra_key,0
llama,Llama-3.1-8B-Instruct,normalized_span_inflation_contains_gold,0
llama,Llama-3.1-8B-Instruct,wrong_type,0
llama,Mistral-7B-Instruct-v0.3,article_case_punctuation_near_miss,0
llama,Mistral-7B-Instruct-v0.3,empty_answer,0
llama,Mistral-7B-Instruct-v0.3,empty_output,0
llama,Mistral-7B-Instruct-v0.3,extra_key,0
llama,Mistral-7B-Instruct-v0.3,invalid_json,0
llama,Mistral-7B-Instruct-v0.3,missing_key,0
llama,Mistral-7B-Instruct-v0.3,normalized_span_inflation_contains_gold,0
llama,Mistral-7B-Instruct-v0.3,span_inflation_contains_gold,0
llama,Mistral-7B-Instruct-v0.3,strict_correct,0
llama,Mistral-7B-Instruct-v0.3,wrong_schema,0
llama,Mistral-7B-Instruct-v0.3,wrong_span,0
llama,Mistral-7B-Instruct-v0.3,wrong_type,0
llama,Mistral-7B-v0.3 Base,article_case_punctuation_near_miss,0
llama,Mistral-7B-v0.3 Base,empty_answer,0
llama,Mistral-7B-v0.3 Base,empty_output,0
llama,Mistral-7B-v0.3 Base,extra_key,0
llama,Mistral-7B-v0.3 Base,invalid_json,0
llama,Mistral-7B-v0.3 Base,missing_key,0
llama,Mistral-7B-v0.3 Base,normalized_span_inflation_contains_gold,0
llama,Mistral-7B-v0.3 Base,span_inflation_contains_gold,0
llama,Mistral-7B-v0.3 Base,strict_correct,0
llama,Mistral-7B-v0.3 Base,wrong_schema,0
llama,Mistral-7B-v0.3 Base,wrong_span,0
llama,Mistral-7B-v0.3 Base,wrong_type,0
llama,Qwen2.5-14B-Instruct,article_case_punctuation_near_miss,0
llama,Qwen2.5-14B-Instruct,empty_answer,0
llama,Qwen2.5-14B-Instruct,empty_output,0
llama,Qwen2.5-14B-Instruct,extra_key,0
llama,Qwen2.5-14B-Instruct,invalid_json,0
llama,Qwen2.5-14B-Instruct,missing_key,0
llama,Qwen2.5-14B-Instruct,normalized_span_inflation_contains_gold,0
llama,Qwen2.5-14B-Instruct,span_inflation_contains_gold,0
llama,Qwen2.5-14B-Instruct,strict_correct,0
llama,Qwen2.5-14B-Instruct,wrong_schema,0
llama,Qwen2.5-14B-Instruct,wrong_span,0
llama,Qwen2.5-14B-Instruct,wrong_type,0
llama,Qwen2.5-7B-Instruct,article_case_punctuation_near_miss,0
llama,Qwen2.5-7B-Instruct,empty_answer,0
llama,Qwen2.5-7B-Instruct,empty_output,0
llama,Qwen2.5-7B-Instruct,extra_key,0
llama,Qwen2.5-7B-Instruct,invalid_json,0
llama,Qwen2.5-7B-Instruct,missing_key,0
llama,Qwen2.5-7B-Instruct,normalized_span_inflation_contains_gold,0
llama,Qwen2.5-7B-Instruct,span_inflation_contains_gold,0
llama,Qwen2.5-7B-Instruct,strict_correct,0
llama,Qwen2.5-7B-Instruct,wrong_schema,0
llama,Qwen2.5-7B-Instruct,wrong_span,0
llama,Qwen2.5-7B-Instruct,wrong_type,0
mistral_instruct,Mistral-7B-Instruct-v0.3,strict_correct,621
mistral_instruct,Mistral-7B-Instruct-v0.3,span_inflation_contains_gold,109
mistral_instruct,Mistral-7B-Instruct-v0.3,invalid_json,38
mistral_instruct,Mistral-7B-Instruct-v0.3,wrong_span,17
mistral_instruct,Mistral-7B-Instruct-v0.3,article_case_punctuation_near_miss,8
mistral_instruct,Mistral-7B-Instruct-v0.3,extra_key,5
mistral_instruct,Mistral-7B-Instruct-v0.3,missing_key,1
mistral_instruct,Mistral-7B-Instruct-v0.3,wrong_schema,1
mistral_instruct,Gemma-2-9B-it,article_case_punctuation_near_miss,0
mistral_instruct,Gemma-2-9B-it,empty_answer,0
mistral_instruct,Gemma-2-9B-it,empty_output,0
mistral_instruct,Gemma-2-9B-it,extra_key,0
mistral_instruct,Gemma-2-9B-it,invalid_json,0
mistral_instruct,Gemma-2-9B-it,missing_key,0
mistral_instruct,Gemma-2-9B-it,normalized_span_inflation_contains_gold,0
mistral_instruct,Gemma-2-9B-it,span_inflation_contains_gold,0
mistral_instruct,Gemma-2-9B-it,strict_correct,0
mistral_instruct,Gemma-2-9B-it,wrong_schema,0
mistral_instruct,Gemma-2-9B-it,wrong_span,0
mistral_instruct,Gemma-2-9B-it,wrong_type,0
mistral_instruct,Llama-3.1-8B-Instruct,article_case_punctuation_near_miss,0
mistral_instruct,Llama-3.1-8B-Instruct,empty_answer,0
mistral_instruct,Llama-3.1-8B-Instruct,empty_output,0
mistral_instruct,Llama-3.1-8B-Instruct,extra_key,0
mistral_instruct,Llama-3.1-8B-Instruct,invalid_json,0
mistral_instruct,Llama-3.1-8B-Instruct,missing_key,0
mistral_instruct,Llama-3.1-8B-Instruct,normalized_span_inflation_contains_gold,0
mistral_instruct,Llama-3.1-8B-Instruct,span_inflation_contains_gold,0
mistral_instruct,Llama-3.1-8B-Instruct,strict_correct,0
mistral_instruct,Llama-3.1-8B-Instruct,wrong_schema,0
mistral_instruct,Llama-3.1-8B-Instruct,wrong_span,0
mistral_instruct,Llama-3.1-8B-Instruct,wrong_type,0
mistral_instruct,Mistral-7B-Instruct-v0.3,empty_answer,0
mistral_instruct,Mistral-7B-Instruct-v0.3,empty_output,0
mistral_instruct,Mistral-7B-Instruct-v0.3,normalized_span_inflation_contains_gold,0
mistral_instruct,Mistral-7B-Instruct-v0.3,wrong_type,0
mistral_instruct,Mistral-7B-v0.3 Base,article_case_punctuation_near_miss,0
mistral_instruct,Mistral-7B-v0.3 Base,empty_answer,0
mistral_instruct,Mistral-7B-v0.3 Base,empty_output,0
mistral_instruct,Mistral-7B-v0.3 Base,extra_key,0
mistral_instruct,Mistral-7B-v0.3 Base,invalid_json,0
mistral_instruct,Mistral-7B-v0.3 Base,missing_key,0
mistral_instruct,Mistral-7B-v0.3 Base,normalized_span_inflation_contains_gold,0
mistral_instruct,Mistral-7B-v0.3 Base,span_inflation_contains_gold,0
mistral_instruct,Mistral-7B-v0.3 Base,strict_correct,0
mistral_instruct,Mistral-7B-v0.3 Base,wrong_schema,0
mistral_instruct,Mistral-7B-v0.3 Base,wrong_span,0
mistral_instruct,Mistral-7B-v0.3 Base,wrong_type,0
mistral_instruct,Qwen2.5-14B-Instruct,article_case_punctuation_near_miss,0
mistral_instruct,Qwen2.5-14B-Instruct,empty_answer,0
mistral_instruct,Qwen2.5-14B-Instruct,empty_output,0
mistral_instruct,Qwen2.5-14B-Instruct,extra_key,0
mistral_instruct,Qwen2.5-14B-Instruct,invalid_json,0
mistral_instruct,Qwen2.5-14B-Instruct,missing_key,0
mistral_instruct,Qwen2.5-14B-Instruct,normalized_span_inflation_contains_gold,0
mistral_instruct,Qwen2.5-14B-Instruct,span_inflation_contains_gold,0
mistral_instruct,Qwen2.5-14B-Instruct,strict_correct,0
mistral_instruct,Qwen2.5-14B-Instruct,wrong_schema,0
mistral_instruct,Qwen2.5-14B-Instruct,wrong_span,0
mistral_instruct,Qwen2.5-14B-Instruct,wrong_type,0
mistral_instruct,Qwen2.5-7B-Instruct,article_case_punctuation_near_miss,0
mistral_instruct,Qwen2.5-7B-Instruct,empty_answer,0
mistral_instruct,Qwen2.5-7B-Instruct,empty_output,0
mistral_instruct,Qwen2.5-7B-Instruct,extra_key,0
mistral_instruct,Qwen2.5-7B-Instruct,invalid_json,0
mistral_instruct,Qwen2.5-7B-Instruct,missing_key,0
mistral_instruct,Qwen2.5-7B-Instruct,normalized_span_inflation_contains_gold,0
mistral_instruct,Qwen2.5-7B-Instruct,span_inflation_contains_gold,0
mistral_instruct,Qwen2.5-7B-Instruct,strict_correct,0
mistral_instruct,Qwen2.5-7B-Instruct,wrong_schema,0
mistral_instruct,Qwen2.5-7B-Instruct,wrong_span,0
mistral_instruct,Qwen2.5-7B-Instruct,wrong_type,0
mistral_base,Mistral-7B-v0.3 Base,invalid_json,784
mistral_base,Mistral-7B-v0.3 Base,empty_output,16
mistral_base,Gemma-2-9B-it,article_case_punctuation_near_miss,0
mistral_base,Gemma-2-9B-it,empty_answer,0
mistral_base,Gemma-2-9B-it,empty_output,0
mistral_base,Gemma-2-9B-it,extra_key,0
mistral_base,Gemma-2-9B-it,invalid_json,0
mistral_base,Gemma-2-9B-it,missing_key,0
mistral_base,Gemma-2-9B-it,normalized_span_inflation_contains_gold,0
mistral_base,Gemma-2-9B-it,span_inflation_contains_gold,0
mistral_base,Gemma-2-9B-it,strict_correct,0
mistral_base,Gemma-2-9B-it,wrong_schema,0
mistral_base,Gemma-2-9B-it,wrong_span,0
mistral_base,Gemma-2-9B-it,wrong_type,0
mistral_base,Llama-3.1-8B-Instruct,article_case_punctuation_near_miss,0
mistral_base,Llama-3.1-8B-Instruct,empty_answer,0
mistral_base,Llama-3.1-8B-Instruct,empty_output,0
mistral_base,Llama-3.1-8B-Instruct,extra_key,0
mistral_base,Llama-3.1-8B-Instruct,invalid_json,0
mistral_base,Llama-3.1-8B-Instruct,missing_key,0
mistral_base,Llama-3.1-8B-Instruct,normalized_span_inflation_contains_gold,0
mistral_base,Llama-3.1-8B-Instruct,span_inflation_contains_gold,0
mistral_base,Llama-3.1-8B-Instruct,strict_correct,0
mistral_base,Llama-3.1-8B-Instruct,wrong_schema,0
mistral_base,Llama-3.1-8B-Instruct,wrong_span,0
mistral_base,Llama-3.1-8B-Instruct,wrong_type,0
mistral_base,Mistral-7B-Instruct-v0.3,article_case_punctuation_near_miss,0
mistral_base,Mistral-7B-Instruct-v0.3,empty_answer,0
mistral_base,Mistral-7B-Instruct-v0.3,empty_output,0
mistral_base,Mistral-7B-Instruct-v0.3,extra_key,0
mistral_base,Mistral-7B-Instruct-v0.3,invalid_json,0
mistral_base,Mistral-7B-Instruct-v0.3,missing_key,0
mistral_base,Mistral-7B-Instruct-v0.3,normalized_span_inflation_contains_gold,0
mistral_base,Mistral-7B-Instruct-v0.3,span_inflation_contains_gold,0
mistral_base,Mistral-7B-Instruct-v0.3,strict_correct,0
mistral_base,Mistral-7B-Instruct-v0.3,wrong_schema,0
mistral_base,Mistral-7B-Instruct-v0.3,wrong_span,0
mistral_base,Mistral-7B-Instruct-v0.3,wrong_type,0
mistral_base,Mistral-7B-v0.3 Base,article_case_punctuation_near_miss,0
mistral_base,Mistral-7B-v0.3 Base,empty_answer,0
mistral_base,Mistral-7B-v0.3 Base,extra_key,0
mistral_base,Mistral-7B-v0.3 Base,missing_key,0
mistral_base,Mistral-7B-v0.3 Base,normalized_span_inflation_contains_gold,0
mistral_base,Mistral-7B-v0.3 Base,span_inflation_contains_gold,0
mistral_base,Mistral-7B-v0.3 Base,strict_correct,0
mistral_base,Mistral-7B-v0.3 Base,wrong_schema,0
mistral_base,Mistral-7B-v0.3 Base,wrong_span,0
mistral_base,Mistral-7B-v0.3 Base,wrong_type,0
mistral_base,Qwen2.5-14B-Instruct,article_case_punctuation_near_miss,0
mistral_base,Qwen2.5-14B-Instruct,empty_answer,0
mistral_base,Qwen2.5-14B-Instruct,empty_output,0
mistral_base,Qwen2.5-14B-Instruct,extra_key,0
mistral_base,Qwen2.5-14B-Instruct,invalid_json,0
mistral_base,Qwen2.5-14B-Instruct,missing_key,0
mistral_base,Qwen2.5-14B-Instruct,normalized_span_inflation_contains_gold,0
mistral_base,Qwen2.5-14B-Instruct,span_inflation_contains_gold,0
mistral_base,Qwen2.5-14B-Instruct,strict_correct,0
mistral_base,Qwen2.5-14B-Instruct,wrong_schema,0
mistral_base,Qwen2.5-14B-Instruct,wrong_span,0
mistral_base,Qwen2.5-14B-Instruct,wrong_type,0
mistral_base,Qwen2.5-7B-Instruct,article_case_punctuation_near_miss,0
mistral_base,Qwen2.5-7B-Instruct,empty_answer,0
mistral_base,Qwen2.5-7B-Instruct,empty_output,0
mistral_base,Qwen2.5-7B-Instruct,extra_key,0
mistral_base,Qwen2.5-7B-Instruct,invalid_json,0
mistral_base,Qwen2.5-7B-Instruct,missing_key,0
mistral_base,Qwen2.5-7B-Instruct,normalized_span_inflation_contains_gold,0
mistral_base,Qwen2.5-7B-Instruct,span_inflation_contains_gold,0
mistral_base,Qwen2.5-7B-Instruct,strict_correct,0
mistral_base,Qwen2.5-7B-Instruct,wrong_schema,0
mistral_base,Qwen2.5-7B-Instruct,wrong_span,0
mistral_base,Qwen2.5-7B-Instruct,wrong_type,0
