model,prompt_id,task_name,regime,distraction_type,raw_output,parsed_output,gold_output,parse_success,parse_error_code,score_error_code,failure_type,notes
qwen7b,qa_226__unbounded__instruction_in_the_middle,extractive_qa,unbounded,instruction_in_the_middle,"{""answer"": """"}",{'answer': ''},{'answer': 'Alice Smith'},True,,wrong_answer,wrong_answer,
qwen7b,qa_227__unbounded__instruction_in_the_middle,extractive_qa,unbounded,instruction_in_the_middle,"{""answer"": """"}",{'answer': ''},{'answer': 'Alice Smith'},True,,wrong_answer,wrong_answer,
qwen7b,qa_248__bounded__irrelevant_prefix,extractive_qa,bounded,irrelevant_prefix,"{""answer"": ""the fitness watch""}",{'answer': 'the fitness watch'},{'answer': 'fitness watch'},True,,wrong_answer,wrong_answer,
qwen7b,qa_247__bounded__irrelevant_prefix,extractive_qa,bounded,irrelevant_prefix,"{""answer"": ""the solar battery""}",{'answer': 'the solar battery'},{'answer': 'solar battery'},True,,wrong_answer,wrong_answer,
qwen7b,qa_244__unbounded__irrelevant_prefix,extractive_qa,unbounded,irrelevant_prefix,"{""answer"": ""the budget phone""}",{'answer': 'the budget phone'},{'answer': 'budget phone'},True,,wrong_answer,wrong_answer,
qwen7b,qa_238__unbounded__irrelevant_prefix,extractive_qa,unbounded,irrelevant_prefix,"{""answer"": ""the medical software""}",{'answer': 'the medical software'},{'answer': 'medical software'},True,,wrong_answer,wrong_answer,
qwen7b,qa_243__bounded__irrelevant_suffix,extractive_qa,bounded,irrelevant_suffix,"{""answer"": ""the robot vacuum""}",{'answer': 'the robot vacuum'},{'answer': 'robot vacuum'},True,,wrong_answer,wrong_answer,
qwen7b,qa_245__bounded__irrelevant_suffix,extractive_qa,bounded,irrelevant_suffix,"{""answer"": ""the smart speaker""}",{'answer': 'the smart speaker'},{'answer': 'smart speaker'},True,,wrong_answer,wrong_answer,
qwen7b,qa_247__unbounded__irrelevant_suffix,extractive_qa,unbounded,irrelevant_suffix,"{""answer"": ""the solar battery""}",{'answer': 'the solar battery'},{'answer': 'solar battery'},True,,wrong_answer,wrong_answer,
qwen7b,qa_232__unbounded__irrelevant_suffix,extractive_qa,unbounded,irrelevant_suffix,"{""answer"": """"}",{'answer': ''},{'answer': 'Alice Smith'},True,,wrong_answer,wrong_answer,
qwen7b,qa_248__bounded__length_stress,extractive_qa,bounded,length_stress,"{""answer"": ""the fitness watch""}",{'answer': 'the fitness watch'},{'answer': 'fitness watch'},True,,wrong_answer,wrong_answer,
qwen7b,qa_247__bounded__length_stress,extractive_qa,bounded,length_stress,"{""answer"": ""the solar battery""}",{'answer': 'the solar battery'},{'answer': 'solar battery'},True,,wrong_answer,wrong_answer,
qwen7b,qa_248__unbounded__length_stress,extractive_qa,unbounded,length_stress,"{""answer"": ""the fitness watch""}",{'answer': 'the fitness watch'},{'answer': 'fitness watch'},True,,wrong_answer,wrong_answer,
qwen7b,qa_242__unbounded__length_stress,extractive_qa,unbounded,length_stress,"{""answer"": ""the analytics dashboard""}",{'answer': 'the analytics dashboard'},{'answer': 'analytics dashboard'},True,,wrong_answer,wrong_answer,
qwen7b,qa_241__bounded__negation_distraction,extractive_qa,bounded,negation_distraction,"{""answer"": ""the security platform""}",{'answer': 'the security platform'},{'answer': 'security platform'},True,,wrong_answer,wrong_answer,
qwen7b,qa_243__bounded__negation_distraction,extractive_qa,bounded,negation_distraction,"{""answer"": ""the robot vacuum""}",{'answer': 'the robot vacuum'},{'answer': 'robot vacuum'},True,,wrong_answer,wrong_answer,
qwen7b,qa_241__unbounded__negation_distraction,extractive_qa,unbounded,negation_distraction,"{""answer"": ""the security platform""}",{'answer': 'the security platform'},{'answer': 'security platform'},True,,wrong_answer,wrong_answer,
qwen7b,qa_242__unbounded__negation_distraction,extractive_qa,unbounded,negation_distraction,"{""answer"": ""the analytics dashboard""}",{'answer': 'the analytics dashboard'},{'answer': 'analytics dashboard'},True,,wrong_answer,wrong_answer,
qwen7b,qa_233__bounded__style_distraction,extractive_qa,bounded,style_distraction,"{""answer"": ""Alice Smith had the confirmed arrival in Vienna.""}",{'answer': 'Alice Smith had the confirmed arrival in Vienna.'},{'answer': 'Alice Smith'},True,,wrong_answer,paraphrased_answer,
qwen7b,qa_216__bounded__style_distraction,extractive_qa,bounded,style_distraction,"{""answer"": ""the session would be held in Prague""}",{'answer': 'the session would be held in Prague'},{'answer': 'Prague'},True,,wrong_answer,paraphrased_answer,
qwen7b,qa_244__unbounded__style_distraction,extractive_qa,unbounded,style_distraction,"{""answer"": ""the budget phone""}",{'answer': 'the budget phone'},{'answer': 'budget phone'},True,,wrong_answer,wrong_answer,
qwen7b,qa_229__unbounded__style_distraction,extractive_qa,unbounded,style_distraction,"{""answer"": ""Alice Smith had the confirmed arrival in Prague.""}",{'answer': 'Alice Smith had the confirmed arrival in Prague.'},{'answer': 'Alice Smith'},True,,wrong_answer,paraphrased_answer,
qwen7b,ie_146__unbounded__clean,information_extraction,unbounded,clean,"{""person"": ""Alice Smith"", ""date"": ""2025-10-15"", ""location"": ""Brno""}","{'date': '2025-10-15', 'location': 'Brno', 'person': 'Alice Smith'}","{'date': '2024-09-05', 'location': 'Prague', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_136__bounded__conflicting_instruction,information_extraction,bounded,conflicting_instruction,"{""status"": ""success"", ""content"": {""person"": ""Alice Smith"", ""date"": ""2025-04-30"", ""location"": ""Rome""}}",,"{'date': '2025-04-30', 'location': 'Rome', 'person': 'Alice Smith'}",False,missing_key,missing_key,wrong_schema,
qwen7b,ie_121__bounded__conflicting_instruction,information_extraction,bounded,conflicting_instruction,"[{""person"": ""Alice Smith"", ""date"": ""2025-04-30"", ""location"": ""Athens""}]",,"{'date': '2025-04-30', 'location': 'Athens', 'person': 'Alice Smith'}",False,wrong_schema,wrong_schema,wrong_schema,
qwen7b,ie_133__unbounded__conflicting_instruction,information_extraction,unbounded,conflicting_instruction,"[{""person"": ""Alice Smith"", ""date"": ""2025-07-12"", ""location"": ""Vienna""}]",,"{'date': '2025-07-12', 'location': 'Vienna', 'person': 'Alice Smith'}",False,wrong_schema,wrong_schema,wrong_schema,
qwen7b,ie_137__unbounded__conflicting_instruction,information_extraction,unbounded,conflicting_instruction,"[
    {
        ""person"": ""Alice Smith"",
        ""date"": ""2024-09-05"",
        ""location"": ""Athens""
    }
]",,"{'date': '2024-09-05', 'location': 'Athens', 'person': 'Alice Smith'}",False,wrong_schema,wrong_schema,wrong_schema,
qwen7b,ie_105__bounded__instruction_in_the_middle,information_extraction,bounded,instruction_in_the_middle,"{""person"": """", ""date"": """", ""location"": """"}","{'date': '', 'location': '', 'person': ''}","{'date': '2024-09-05', 'location': 'Lisbon', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_130__bounded__instruction_in_the_middle,information_extraction,bounded,instruction_in_the_middle,"{""person"": ""alice smith"", ""date"": ""2024-03-21"", ""location"": ""milan""}","{'date': '2024-03-21', 'location': 'milan', 'person': 'alice smith'}","{'date': '2024-03-21', 'location': 'Milan', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_122__unbounded__instruction_in_the_middle,information_extraction,unbounded,instruction_in_the_middle,"{""person"": ""Jonas"", ""date"": ""2025-02-14"", ""location"": ""Prague""}","{'date': '2025-02-14', 'location': 'Prague', 'person': 'Jonas'}","{'date': '2025-02-14', 'location': 'Prague', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_146__unbounded__instruction_in_the_middle,information_extraction,unbounded,instruction_in_the_middle,"{""person"": """", ""date"": """", ""location"": """"}","{'date': '', 'location': '', 'person': ''}","{'date': '2024-09-05', 'location': 'Prague', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_108__bounded__irrelevant_prefix,information_extraction,bounded,irrelevant_prefix,"{""person"": ""Alice Smith"", ""date"": ""2024-01-22"", ""location"": ""Rome""}","{'date': '2024-01-22', 'location': 'Rome', 'person': 'Alice Smith'}","{'date': '2026-01-08', 'location': 'Rome', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_149__bounded__irrelevant_prefix,information_extraction,bounded,irrelevant_prefix,"{""person"": ""Alice Smith"", ""date"": ""2024-06-18"", ""location"": ""Paris""}","{'date': '2024-06-18', 'location': 'Paris', 'person': 'Alice Smith'}","{'date': '2026-01-08', 'location': 'Paris', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_100__unbounded__irrelevant_prefix,information_extraction,unbounded,irrelevant_prefix,"{""person"": ""Alice Smith"", ""date"": ""2024-09-14"", ""location"": ""Berlin""}","{'date': '2024-09-14', 'location': 'Berlin', 'person': 'Alice Smith'}","{'date': '2024-03-21', 'location': 'Berlin', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_130__unbounded__irrelevant_prefix,information_extraction,unbounded,irrelevant_prefix,"{""person"": ""alice smith"", ""date"": ""2024-03-21"", ""location"": ""milan""}","{'date': '2024-03-21', 'location': 'milan', 'person': 'alice smith'}","{'date': '2024-03-21', 'location': 'Milan', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_103__unbounded__irrelevant_suffix,information_extraction,unbounded,irrelevant_suffix,"{""person"": """", ""date"": """", ""location"": """"}","{'date': '', 'location': '', 'person': ''}","{'date': '2024-01-15', 'location': 'Paris', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_106__unbounded__irrelevant_suffix,information_extraction,unbounded,irrelevant_suffix,"{""person"": """", ""date"": """", ""location"": """"}","{'date': '', 'location': '', 'person': ''}","{'date': '2025-10-03', 'location': 'Dublin', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_106__bounded__negation_distraction,information_extraction,bounded,negation_distraction,"{""person"": """", ""date"": """", ""location"": """"}","{'date': '', 'location': '', 'person': ''}","{'date': '2025-10-03', 'location': 'Dublin', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_146__bounded__negation_distraction,information_extraction,bounded,negation_distraction,"{""person"": """", ""date"": """", ""location"": """"}","{'date': '', 'location': '', 'person': ''}","{'date': '2024-09-05', 'location': 'Prague', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_142__unbounded__negation_distraction,information_extraction,unbounded,negation_distraction,"{""person"": """", ""date"": ""2025-04-30"", ""location"": ""Dublin""}","{'date': '2025-04-30', 'location': 'Dublin', 'person': ''}","{'date': '2025-04-30', 'location': 'Dublin', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_106__unbounded__negation_distraction,information_extraction,unbounded,negation_distraction,"{""person"": """", ""date"": """", ""location"": """"}","{'date': '', 'location': '', 'person': ''}","{'date': '2025-10-03', 'location': 'Dublin', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_105__bounded__style_distraction,information_extraction,bounded,style_distraction,"{
  ""person"": ""Arrr, matey! It be Alice Smith, that's who!"",
  ""date"": ""Ahoy there, it be 2024-09-05, mark my words!"",
  ""location"": ""Land ahoy! We be talkin' 'bout Lisbon, me hearty!""
}","{'date': 'Ahoy there, it be 2024-09-05, mark my words!', 'location': ""Land ahoy! We be talkin' 'bout Lisbon, me hearty!"", 'person': ""Arrr, matey! It be Alice Smith, that's who!""}","{'date': '2024-09-05', 'location': 'Lisbon', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_106__bounded__style_distraction,information_extraction,bounded,style_distraction,"{
    ""person"": ""The noble Alice Smith"",
    ""date"": ""the morn of the third day of March, in the year of our Lord two thousand and twenty-six"",
    ""location"": ""Dublin""
}","{'date': 'the morn of the third day of March, in the year of our Lord two thousand and twenty-six', 'location': 'Dublin', 'person': 'The noble Alice Smith'}","{'date': '2025-10-03', 'location': 'Dublin', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_105__unbounded__style_distraction,information_extraction,unbounded,style_distraction,"{
  ""person"": ""Arrr, matey! It be Alice Smith, that's for sure!"",
  ""date"": ""By the stars, it be 2024-09-05, me hearty!"",
  ""location"": ""Ahoy there, me crew! We be talkin' 'bout Lisbon, me hearties!""
}","{'date': 'By the stars, it be 2024-09-05, me hearty!', 'location': ""Ahoy there, me crew! We be talkin' 'bout Lisbon, me hearties!"", 'person': ""Arrr, matey! It be Alice Smith, that's for sure!""}","{'date': '2024-09-05', 'location': 'Lisbon', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,ie_115__unbounded__style_distraction,information_extraction,unbounded,style_distraction,"{
  ""person"": ""Arrr, matey! It be Alice Smith, the swashbuckling lady!"",
  ""date"": ""By the stars, 'tis 2026-01-08, when all hands be on deck!"",
  ""location"": ""Ahoy there, me hearty! We be talkin' 'bout Dublin, the city o' green!""
}","{'date': ""By the stars, 'tis 2026-01-08, when all hands be on deck!"", 'location': ""Ahoy there, me hearty! We be talkin' 'bout Dublin, the city o' green!"", 'person': 'Arrr, matey! It be Alice Smith, the swashbuckling lady!'}","{'date': '2026-01-08', 'location': 'Dublin', 'person': 'Alice Smith'}",True,,wrong_answer,wrong_answer,
qwen7b,mlc_066__bounded__clean,multi_label_classification,bounded,clean,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_088__bounded__clean,multi_label_classification,bounded,clean,"{""labels"": [""finance"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_093__unbounded__clean,multi_label_classification,unbounded,clean,"{""labels"": [""health"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_080__unbounded__clean,multi_label_classification,unbounded,clean,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_096__bounded__conflicting_instruction,multi_label_classification,bounded,conflicting_instruction,"{""status"": ""success"", ""content"": {""labels"": [""health"", ""finance""]}}",,"{'labels': ['finance', 'health']}",False,missing_key,missing_key,wrong_schema,
qwen7b,mlc_080__bounded__conflicting_instruction,multi_label_classification,bounded,conflicting_instruction,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_079__unbounded__conflicting_instruction,multi_label_classification,unbounded,conflicting_instruction,"{""labels"": [""health"", ""procurement""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_084__unbounded__conflicting_instruction,multi_label_classification,unbounded,conflicting_instruction,"{""status"": ""success"", ""content"": {""labels"": [""finance"", ""health"", ""tech""]}}",,"{'labels': ['finance', 'health']}",False,missing_key,missing_key,wrong_schema,
qwen7b,mlc_098__bounded__instruction_in_the_middle,multi_label_classification,bounded,instruction_in_the_middle,"{""labels"": [""finance""]}",{'labels': ['finance']},"{'labels': ['finance', 'health']}",True,,wrong_answer,wrong_answer,
qwen7b,mlc_078__bounded__instruction_in_the_middle,multi_label_classification,bounded,instruction_in_the_middle,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_082__unbounded__instruction_in_the_middle,multi_label_classification,unbounded,instruction_in_the_middle,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_067__unbounded__instruction_in_the_middle,multi_label_classification,unbounded,instruction_in_the_middle,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_088__bounded__irrelevant_prefix,multi_label_classification,bounded,irrelevant_prefix,"{""labels"": [""finance"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_067__bounded__irrelevant_prefix,multi_label_classification,bounded,irrelevant_prefix,"{""labels"": [""health"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_098__unbounded__irrelevant_prefix,multi_label_classification,unbounded,irrelevant_prefix,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_082__unbounded__irrelevant_prefix,multi_label_classification,unbounded,irrelevant_prefix,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_066__bounded__irrelevant_suffix,multi_label_classification,bounded,irrelevant_suffix,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_093__bounded__irrelevant_suffix,multi_label_classification,bounded,irrelevant_suffix,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_089__unbounded__irrelevant_suffix,multi_label_classification,unbounded,irrelevant_suffix,"{""labels"": [""budget"", ""flood"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_068__unbounded__irrelevant_suffix,multi_label_classification,unbounded,irrelevant_suffix,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_096__bounded__length_stress,multi_label_classification,bounded,length_stress,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_079__bounded__length_stress,multi_label_classification,bounded,length_stress,"{""labels"": [""finance"", ""health"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_093__unbounded__length_stress,multi_label_classification,unbounded,length_stress,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_079__unbounded__length_stress,multi_label_classification,unbounded,length_stress,"{""labels"": [""health"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_097__bounded__negation_distraction,multi_label_classification,bounded,negation_distraction,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_081__bounded__negation_distraction,multi_label_classification,bounded,negation_distraction,"{""labels"": [""health"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_095__unbounded__negation_distraction,multi_label_classification,unbounded,negation_distraction,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_081__unbounded__negation_distraction,multi_label_classification,unbounded,negation_distraction,"{""labels"": [""health"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_067__bounded__style_distraction,multi_label_classification,bounded,style_distraction,"{""labels"": [""health"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_080__bounded__style_distraction,multi_label_classification,bounded,style_distraction,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_095__unbounded__style_distraction,multi_label_classification,unbounded,style_distraction,"{""labels"": [""health"", ""tech""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,mlc_081__unbounded__style_distraction,multi_label_classification,unbounded,style_distraction,"{""labels"": [""health"", ""politics""]}",,"{'labels': ['finance', 'health']}",False,invalid_label,invalid_label,wrong_schema,
qwen7b,rbt_168__bounded__clean,rule_based_transformation,bounded,clean,"{""text"": ""Reminder: bring 3 tickets 12 pens and a map to Milan""}",{'text': 'Reminder: bring 3 tickets 12 pens and a map to Milan'},{'text': 'Reminder bring 3 tickets 12 pens and a map to Milan'},True,,wrong_answer,wrong_answer,
qwen7b,rbt_176__bounded__clean,rule_based_transformation,bounded,clean,"{""text"": ""Carla Gomez said pack 3 cables 12 adapters and re check Lisbon""}",{'text': 'Carla Gomez said pack 3 cables 12 adapters and re check Lisbon'},{'text': 'Carla Gomez said pack 3 cables 12 adapters and recheck Lisbon'},True,,wrong_answer,wrong_answer,
qwen7b,rbt_171__unbounded__clean,rule_based_transformation,unbounded,clean,"{""text"": ""Reminder: brng 3 tcks, 12 pns, nd a mpt to Prgh.""}","{'text': 'Reminder: brng 3 tcks, 12 pns, nd a mpt to Prgh.'}","{'text': 'bring 3 12 pens, and a map to Prague.'}",True,,wrong_answer,wrong_answer,
qwen7b,rbt_177__unbounded__clean,rule_based_transformation,unbounded,clean,"{""text"": ""Giulia Conti said: pack 3 cables 12 adapters and re-check Dublin!""}",{'text': 'Giulia Conti said: pack 3 cables 12 adapters and re-check Dublin!'},{'text': 'Giulia Conti said pack 3 cables 12 adapters and recheck Dublin'},True,,wrong_answer,wrong_answer,
qwen7b,rbt_195__bounded__conflicting_instruction,rule_based_transformation,bounded,conflicting_instruction,"{""text"": [""Status update - "", ""Hassan Ali/"", ""Milan: "", ""forms filed, "", ""pending.""]}",,"{'text': 'Status update - Hassan 3 forms filed, 12'}",False,wrong_type,wrong_type,wrong_schema,
qwen7b,rbt_176__bounded__conflicting_instruction,rule_based_transformation,bounded,conflicting_instruction,"{""text"": ""DONE""}",{'text': 'DONE'},{'text': 'Carla Gomez said pack 3 cables 12 adapters and recheck Lisbon'},True,,wrong_answer,wrong_answer,
qwen7b,rbt_187__unbounded__conflicting_instruction,rule_based_transformation,unbounded,conflicting_instruction,"{""text"": ""farah k b 3 b 12 s p""}",{'text': 'farah k b 3 b 12 s p'},{'text': 'Farah Khan bought 3 books and 12 snacks in Prague'},True,,wrong_answer,wrong_answer,
qwen7b,rbt_173__unbounded__conflicting_instruction,rule_based_transformation,unbounded,conflicting_instruction,"{""text"": ""Remind to bring <NUM> tickets, <NUM> pens, and a map to Vienna.""}","{'text': 'Remind to bring <NUM> tickets, <NUM> pens, and a map to Vienna.'}","{'text': 'Reminder: bring <NUM> tickets, <NUM> pens, and a map to Vienna.'}",True,,wrong_answer,wrong_answer,
qwen7b,rbt_197__bounded__instruction_in_the_middle,rule_based_transformation,bounded,instruction_in_the_middle,"{""text"": ""Status update - Giulia Conti/<NUM>: 3 forms filed, <NUM> pending.""}","{'text': 'Status update - Giulia Conti/<NUM>: 3 forms filed, <NUM> pending.'}","{'text': 'Status update - Giulia Conti/Rome: <NUM> forms filed, <NUM> pending.'}",True,,wrong_answer,wrong_answer,
qwen7b,rbt_179__bounded__instruction_in_the_middle,rule_based_transformation,bounded,instruction_in_the_middle,"{""text"": ""wetlands support div plant and anim comm while also aff flood cont and wat qual their boun can shi grad with season chang and hum int""}",{'text': 'wetlands support div plant and anim comm while also aff flood cont and wat qual their boun can shi grad with season chang and hum int'},"{'text': '""Elena Marino"" said: pack 3 cables, 12 and Prague!'}",True,,wrong_answer,wrong_answer,
qwen7b,rbt_193__unbounded__instruction_in_the_middle,rule_based_transformation,unbounded,instruction_in_the_middle,"{""text"": ""StatusupdateFarahKhanDublin3formsfilled12pendingThefinancememolistsrevisedthresholdsforsmallpurchasesequipmentreplacementsandtravelclaimsAseparateupdateoncardlimitsisexpectedafterpolicyreview""}",{'text': 'StatusupdateFarahKhanDublin3formsfilled12pendingThefinancememolistsrevisedthresholdsforsmallpurchasesequipmentreplacementsandtravelclaimsAseparateupdateoncardlimitsisexpectedafterpolicyreview'},{'text': 'Status update  Farah KhanDublin 3 forms filed 12 pending'},True,,wrong_answer,wrong_answer,
qwen7b,rbt_196__unbounded__instruction_in_the_middle,rule_based_transformation,unbounded,instruction_in_the_middle,"{""text"": ""Status update - Carla Gomez/Vienna: 3 forms filed, <NUM> pending.\r\n---\r\nAn administrative memo compares draft travel policies for rail bookings, hotel caps, and meal receipts. The final version is expected after legal review of reimbursement language.""}","{'text': 'Status update - Carla Gomez/Vienna: 3 forms filed, <NUM> pending.\r\n---\r\nAn administrative memo compares draft travel policies for rail bookings, hotel caps, and meal receipts. The final version is expected after legal review of reimbursement language.'}","{'text': 'Status update - Carla Gomez/Vienna: <NUM> forms filed, <NUM> pending.'}",True,,wrong_answer,wrong_answer,
qwen7b,rbt_171__bounded__irrelevant_prefix,rule_based_transformation,bounded,irrelevant_prefix,"{""text"": ""Reminder: brin 3 tic, 12 pen, and a map to Pragu.""}","{'text': 'Reminder: brin 3 tic, 12 pen, and a map to Pragu.'}","{'text': 'bring 3 12 pens, and a map to Prague.'}",True,,wrong_answer,wrong_answer,
qwen7b,rbt_195__bounded__irrelevant_prefix,rule_based_transformation,bounded,irrelevant_prefix,"{""text"": ""Stt Upd - Hssn A/Mln: 3 frms fld, 12 pdng.""}","{'text': 'Stt Upd - Hssn A/Mln: 3 frms fld, 12 pdng.'}","{'text': 'Status update - Hassan 3 forms filed, 12'}",True,,wrong_answer,wrong_answer,
