model,prompt_id,regime,distraction_type,distraction_subtype,qa_failure_category,gold_short,pred_short,qa_gold_normalized,qa_pred_normalized,raw_output_short
mistral_base,qa_213__bounded__length_stress,bounded,length_stress,policy_text_long,invalid_json_or_extra_text,Athens,,athens,,"<OUTPUT>\n{""answer"": ""Athens""}\n</OUTPUT>"
mistral_base,qa_240__unbounded__clean,unbounded,clean,,invalid_json_or_extra_text,fitness watch,,fitness watch,,"---\nAnswer:\n{""answer"": ""fitness watch""}\n---"
mistral_base,qa_211__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_json_request,invalid_json_or_extra_text,Urban Sports Media,,urban sports media,,Your response must be valid JSON only.\nDo not include prose before or after the JSON object.\n\nThe relevant material is organized below for processing.\n\nReference text\n\n<INPUT>\nPassage:\nUrban Sports Media hosted a workshop in Prague on 202
mistral_base,qa_213__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,middle_burial,invalid_json_or_extra_text,Athens,,athens,,"The selection function is deterministic, so the same example will always be selected for the same seed.\n\nThe selection function is deterministic, so the same example will always be selected for the same seed.\n\nThe selection function is deterministic, so the same example will always be selected for the same"
mistral_base,qa_227__bounded__style_distraction,bounded,style_distraction,marketing_voice,invalid_json_or_extra_text,Alice Smith,,alice smith,,Your response must be valid JSON only.\nDo not include prose before or after the JSON object.\n\nPlease process the information below and respond.\n\nStep 1: request\n\n<TASK>\nAnswer with the precise text appearing in the passage.\n</TASK>
mistral_base,qa_216__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,short_prefix_noise,invalid_json_or_extra_text,Prague,,prague,,"---\nPassage:\nAlice Smith first suggested meeting in Brno, but the final note states that the session would be held in Prague on 2024-01-15. Another draft changed only the start time.\n\nQuestion:\nWhere would the session be held"
mistral_base,qa_237__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_task_substitution,invalid_json_or_extra_text,Alice Smith,,alice smith,,"Here is the material:\nPassage:\nAlice Smith said the meeting in Prague would start on 2025-02-14, even though an earlier draft listed 2025-10-15. The venue itself did not change.\n\nQuestion"
mistral_base,qa_213__bounded__irrelevant_suffix,bounded,irrelevant_suffix,short_suffix_noise,invalid_json_or_extra_text,Athens,,athens,,"The import step is idempotent, so you can run it multiple times without fear of overwriting existing data.\n\nThe import step is idempotent, so you can run it multiple times without fear of overwriting existing data.\n\nThe import step is idempotent, so"
mistral_base,qa_201__bounded__irrelevant_suffix,bounded,irrelevant_suffix,short_suffix_noise,parse_failure_empty_output,BlueRiver Health,,blueriver health,,
mistral_base,qa_201__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,short_suffix_noise,parse_failure_empty_output,BlueRiver Health,,blueriver health,,
mistral_base,qa_210__unbounded__length_stress,unbounded,length_stress,mixed_code_and_comments,parse_failure_empty_output,Urban Sports Media,,urban sports media,,
mistral_base,qa_246__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,short_prefix_noise,parse_failure_empty_output,medical software,,medical software,,
mistral_base,qa_246__unbounded__clean,unbounded,clean,,parse_failure_empty_output,medical software,,medical software,,
mistral_base,qa_241__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,short_suffix_noise,parse_failure_empty_output,security platform,,security platform,,
mistral_base,qa_222__unbounded__length_stress,unbounded,length_stress,academic_prose_long,parse_failure_empty_output,Madrid,,madrid,,
mistral_base,qa_232__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,parse_failure_empty_output,Alice Smith,,alice smith,,
mistral_base,qa_205__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,short_prefix_noise,parse_failure_empty_output,BlueRiver Health,,blueriver health,,
mistral_base,qa_246__unbounded__length_stress,unbounded,length_stress,documentation_long,parse_failure_empty_output,medical software,,medical software,,
mistral_instruct,qa_244__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,budget phone,,budget phone,,"{""answer"": ""budget phone""}\n\nDONE."
mistral_instruct,qa_246__unbounded__style_distraction,unbounded,style_distraction,elizabethan,invalid_json_or_extra_text,medical software,,medical software,,"{""answer"": ""On the noble day of the thirty-third of October, in the year of our Lord two thousand and twenty-five, BlueRiver Health, a beacon of innovation in the realm of medical software, did unveil a marvel of technology, a creation of such significance that it shall be"
mistral_instruct,qa_204__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,BlueRiver Health,,blueriver health,,"{""answer"": ""BlueRiver Health""}\n\nReasoning: The question asks for the company that will roll out the analytics dashboard on a specific date. In the passage, it is stated that ""BlueRiver Health will roll out the analytics dashboard on 2025-02-1"
mistral_instruct,qa_216__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,Prague,,prague,,"{""answer"": ""Prague""}\n\nReasoning: The question asks for the location of the session on a specific date, which is 2024-01-15. The passage states that the final note mentions this date and the location as Prague."
mistral_instruct,qa_239__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,invalid_json_or_extra_text,solar battery,,solar battery,,"[""answer"": ""solar battery""]\n\n- The answer is a direct quote from the passage, which states that Summit Retail Systems officially introduced the ""solar battery"". The answer is not a summary or paraphrase, but an exact match to the text in the passage."
mistral_instruct,qa_236__bounded__style_distraction,bounded,style_distraction,elizabethan,invalid_json_or_extra_text,Alice Smith,,alice smith,,"{""answer"": ""Twas Alice Smith, in her declarations most certain, who hath proclaimed that the grand assembly in the city of Berlin shall commence on the day of the fifteenth of January, in the year of our Lord two thousand and twenty-four, despite an earlier draft bearing the date of the"
mistral_instruct,qa_206__bounded__style_distraction,bounded,style_distraction,elizabethan,invalid_json_or_extra_text,BlueRiver Health,,blueriver health,,"{""answer"": ""Tis BlueRiver Health, most noble and esteemed, that shall unveil the budget phone on the twenty-first day of March in the year of our Lord two thousand twenty-four, after the device hath undergone rigorous testing in the ancient and hallowed city of"
mistral_instruct,qa_236__unbounded__style_distraction,unbounded,style_distraction,elizabethan,invalid_json_or_extra_text,Alice Smith,,alice smith,,"{""answer"": ""It was Alice Smith, in her most resolute declaration, who hath announced that the esteemed gathering in the grand city of Berlin shall commence on the fifteenth day of January, in the year of our Lord two thousand and twenty-four, despite an earlier draft bearing the date of the four"
mistral_instruct,qa_232__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,Alice Smith,,alice smith,,"{""answer"": ""Alice Smith""}\nDONE"
mistral_instruct,qa_220__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,Madrid,,madrid,,"{""answer"": ""Madrid""}\n\nDONE."
mistral_instruct,qa_201__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_task_substitution,schema_violation,BlueRiver Health,,blueriver health,,"{""topic"": ""Company Deployment""}"
mistral_instruct,qa_202__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,BlueRiver Health,,blueriver health,,"{""status"": ""success"", ""answer"": ""BlueRiver Health""}"
mistral_instruct,qa_227__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,Alice Smith,,alice smith,,"[\n  {\n    ""note"": ""The question asks for the person who had the confirmed arrival in Paris."",\n    ""answer"": ""Alice Smith""\n  }\n]"
mistral_instruct,qa_214__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,Paris,,paris,,"{""status"": ""success"", ""answer"": ""Paris""}"
mistral_instruct,qa_226__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,Alice Smith,,alice smith,,"{""status"": ""success"", ""answer"": ""Alice Smith""}"
mistral_instruct,qa_226__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,Alice Smith,,alice smith,,"{""status"": ""success"", ""answer"": ""Alice Smith""}"
mistral_instruct,qa_238__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,schema_violation,medical software,,medical software,,"{""status"": ""success"", ""answer"": ""medical software""}"
mistral_instruct,qa_246__bounded__style_distraction,bounded,style_distraction,elizabethan,span_inflation_contains_gold,medical software,"On the noble day of the twenty-third of October, in the year of our Lord two thousand and twenty-five, BlueRiver Health did unveil unto the world a marvel of modern medicine: a medical software, a beacon of progress in the realm of healthcare.",medical software,on the noble day of the twenty third of october in the year of our lord two thousand and twenty five blueriver health did unveil unto the world a marvel of modern medicine a medical software a beacon of progress in the realm of healthcare,"{""answer"": ""On the noble day of the twenty-third of October, in the year of our Lord two thousand and twenty-five, BlueRiver Health did unveil unto the world a marvel of modern medicine: a medical software, a beacon of progress in the realm of healthcare.""}"
mistral_instruct,qa_208__bounded__style_distraction,bounded,style_distraction,social_post,span_inflation_contains_gold,Urban Sports Media,Urban Sports Media hosted the workshop in Athens,urban sports media,urban sports media hosted the workshop in athens,"{""answer"": ""Urban Sports Media hosted the workshop in Athens""}"
mistral_instruct,qa_205__bounded__style_distraction,bounded,style_distraction,pirate_persona,span_inflation_contains_gold,BlueRiver Health,"BlueRiver Health be the one to unleash the robot vacuum on the 15th of January in the year of two thousand and twenty-four, matey!",blueriver health,blueriver health be the one to unleash the robot vacuum on the 15th of january in the year of two thousand and twenty four matey,"{""answer"": ""BlueRiver Health be the one to unleash the robot vacuum on the 15th of January in the year of two thousand and twenty-four, matey!""}"
mistral_instruct,qa_247__bounded__irrelevant_prefix,bounded,irrelevant_prefix,short_prefix_noise,span_inflation_contains_gold,solar battery,BlueRiver Health released the solar battery,solar battery,blueriver health released the solar battery,"{""answer"": ""BlueRiver Health released the solar battery""}"
mistral_instruct,qa_239__bounded__style_distraction,bounded,style_distraction,motivational,span_inflation_contains_gold,solar battery,Summit Retail Systems officially introduced the solar battery,solar battery,summit retail systems officially introduced the solar battery,"{""answer"": ""Summit Retail Systems officially introduced the solar battery""}"
mistral_instruct,qa_241__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_output_mode,span_inflation_contains_gold,security platform,Summit Retail Systems officially introduced the security platform,security platform,summit retail systems officially introduced the security platform,"{""answer"": ""Summit Retail Systems officially introduced the security platform""}"
mistral_instruct,qa_219__unbounded__style_distraction,unbounded,style_distraction,motivational,span_inflation_contains_gold,Rome,The session would be held in Rome on 2024-09-05,rome,session would be held in rome on 2024 09 05,"{""answer"": ""The session would be held in Rome on 2024-09-05""}"
mistral_instruct,qa_226__unbounded__style_distraction,unbounded,style_distraction,elizabethan,span_inflation_contains_gold,Alice Smith,"Twas on the day of the fifth of September, in the year two thousand twenty-four, that the noble and esteemed Alice Smith did confirm her arrival in the hallowed city of Athens, as recorded in the travel log.",alice smith,twas on the day of the fifth of september in the year two thousand twenty four that the noble and esteemed alice smith did confirm her arrival in the hallowed city of athens as recorded in the travel log,"{""answer"": ""Twas on the day of the fifth of September, in the year two thousand twenty-four, that the noble and esteemed Alice Smith did confirm her arrival in the hallowed city of Athens, as recorded in the travel log.""}"
mistral_instruct,qa_249__bounded__irrelevant_suffix,bounded,irrelevant_suffix,short_suffix_noise,span_inflation_contains_gold,security platform,BlueRiver Health released the security platform,security platform,blueriver health released the security platform,"{""answer"": ""BlueRiver Health released the security platform""}"
mistral_instruct,qa_208__unbounded__style_distraction,unbounded,style_distraction,social_post,span_inflation_contains_gold,Urban Sports Media,Urban Sports Media hosted the workshop in Athens,urban sports media,urban sports media hosted the workshop in athens,"{""answer"": ""Urban Sports Media hosted the workshop in Athens""}"
mistral_instruct,qa_226__bounded__irrelevant_prefix,bounded,irrelevant_prefix,short_prefix_noise,wrong_span,Alice Smith,Athens occurred on 2024-09-05,alice smith,athens occurred on 2024 09 05,"{""answer"": ""Athens occurred on 2024-09-05""}"
mistral_instruct,qa_226__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,middle_burial,wrong_span,Alice Smith,Athens,alice smith,athens,"{""answer"": ""Athens""}"
mistral_instruct,qa_241__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_output_mode,wrong_span,security platform,Summit Retail Systems officially introduced the headset,security platform,summit retail systems officially introduced the headset,"{""answer"": ""Summit Retail Systems officially introduced the headset""}"
mistral_instruct,qa_248__bounded__length_stress,bounded,length_stress,email_thread_fragment,wrong_span,fitness watch,2024-06-10,fitness watch,2024 06 10,"{""answer"": ""2024-06-10""}"
mistral_instruct,qa_247__bounded__length_stress,bounded,length_stress,documentation_long,wrong_span,solar battery,2024-09-05,solar battery,2024 09 05,"{""answer"": ""2024-09-05""}"
mistral_instruct,qa_248__bounded__irrelevant_suffix,bounded,irrelevant_suffix,short_suffix_noise,wrong_span,fitness watch,2024-06-10,fitness watch,2024 06 10,"{""answer"": ""2024-06-10""}"
mistral_instruct,qa_246__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_minimal_reply,wrong_span,medical software,2025-10-03,medical software,2025 10 03,"{""answer"": ""2025-10-03""}"
mistral_instruct,qa_248__bounded__irrelevant_prefix,bounded,irrelevant_prefix,short_prefix_noise,wrong_span,fitness watch,2024-06-10,fitness watch,2024 06 10,"{""answer"": ""2024-06-10""}"
mistral_instruct,qa_226__bounded__length_stress,bounded,length_stress,documentation_long,wrong_span,Alice Smith,Athens,alice smith,athens,"{""answer"": ""Athens""}"
mistral_instruct,qa_246__bounded__length_stress,bounded,length_stress,documentation_long,wrong_span,medical software,2025-10-03,medical software,2025 10 03,"{""answer"": ""2025-10-03""}"
qwen14b,qa_215__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,invalid_json_or_extra_text,Milan,,milan,,"- {""answer"": ""Milan""} - This JSON object contains the exact location mentioned in the passage where the session would be held on 2025-02-14."
qwen14b,qa_232__unbounded__conflicting_instruction,unbounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,Alice Smith,,alice smith,,DONE
qwen14b,qa_203__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,invalid_json_or_extra_text,BlueRiver Health,,blueriver health,,"- Output: {""answer"": ""BlueRiver Health""} - This JSON object contains the extracted answer from the given passage as requested, without any additional explanation or paraphrasing."
qwen14b,qa_239__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,invalid_json_or_extra_text,solar battery,,solar battery,,"- Output: {""answer"": ""the solar battery""} - This JSON contains the exact text from the passage as requested, without additional explanation or context."
qwen14b,qa_222__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_minimal_reply,invalid_json_or_extra_text,Madrid,,madrid,,OK
qwen14b,qa_220__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,Madrid,,madrid,,DONE
qwen14b,qa_227__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_format_override,invalid_json_or_extra_text,Alice Smith,,alice smith,,"- {""answer"": ""Alice Smith""} - This is the exact span from the passage indicating who had the confirmed arrival in Paris."
qwen14b,qa_203__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,invalid_json_or_extra_text,BlueRiver Health,,blueriver health,,"- Output: {""answer"": ""BlueRiver Health""} - This JSON object adheres strictly to the instruction, providing the exact span from the given passage as requested."
qwen14b,qa_244__unbounded__conflicting_instruction,unbounded,conflicting_instruction,late_override_note,invalid_json_or_extra_text,budget phone,,budget phone,,DONE
qwen14b,qa_210__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_minimal_reply,invalid_json_or_extra_text,Urban Sports Media,,urban sports media,,OK
qwen14b,qa_211__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_json_request,schema_violation,Urban Sports Media,,urban sports media,,"{""answer"": [""Urban Sports Media""]}"
qwen14b,qa_235__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_json_request,schema_violation,Alice Smith,,alice smith,,"{""answer"": [""Alice Smith""]}"
qwen14b,qa_202__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,BlueRiver Health,,blueriver health,,"{""status"": ""success"", ""content"": {""answer"": ""BlueRiver Health""}}"
qwen14b,qa_247__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_json_request,schema_violation,solar battery,,solar battery,,"{""answer"": [""solar battery""]}"
qwen14b,qa_214__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,Paris,,paris,,"{""status"": ""success"", ""content"": {""answer"": ""Paris""}}"
qwen14b,qa_226__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,Alice Smith,,alice smith,,"{""status"": ""success"", ""content"": {""answer"": ""Alice Smith""}}"
qwen14b,qa_223__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_json_request,schema_violation,Berlin,,berlin,,"{""answer"": [""Berlin""]}"
qwen14b,qa_238__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,medical software,,medical software,,"{""status"": ""success"", ""content"": {""answer"": ""the medical software""}}"
qwen14b,qa_201__bounded__style_distraction,bounded,style_distraction,dramatic_narrative,span_inflation_contains_gold,BlueRiver Health,"BlueRiver Health will unfurl its mighty solar battery upon the world stage, casting its radiant glow across the horizon on the fateful day of 2024-09-05, following the trials and tribulations of rigorous testing in the illustrious city of Paris.",blueriver health,blueriver health will unfurl its mighty solar battery upon the world stage casting its radiant glow across the horizon on the fateful day of 2024 09 05 following the trials and tribulations of rigorous testing in the illustrious city of paris,"{""answer"": ""BlueRiver Health will unfurl its mighty solar battery upon the world stage, casting its radiant glow across the horizon on the fateful day of 2024-09-05, following the trials and tribulations of rigorous testing in the illustrious city of Paris.""}"
qwen14b,qa_218__bounded__style_distraction,bounded,style_distraction,social_post,span_inflation_contains_gold,Dublin,the session would be held in Dublin,dublin,session would be held in dublin,"{""answer"": ""the session would be held in Dublin""}"
qwen14b,qa_204__bounded__style_distraction,bounded,style_distraction,legalistic,span_inflation_contains_gold,BlueRiver Health,BlueRiver Health will roll out the analytics dashboard on 2025-02-14,blueriver health,blueriver health will roll out the analytics dashboard on 2025 02 14,"{""answer"": ""BlueRiver Health will roll out the analytics dashboard on 2025-02-14""}"
