model,task_name,distraction_type,strict_accuracy,relaxed_accuracy,relaxed_gain,parse_failure_rate,n
mistral_base,information_extraction,irrelevant_prefix,0.0,0.0,0.0,1.0,100
mistral_base,information_extraction,irrelevant_suffix,0.0,0.0,0.0,1.0,100
mistral_base,information_extraction,length_stress,0.0,0.0,0.0,1.0,100
mistral_base,information_extraction,negation_distraction,0.0,0.0,0.0,1.0,100
mistral_base,information_extraction,style_distraction,0.0,0.0,0.0,1.0,100
mistral_base,multi_label_classification,clean,0.0,0.0,0.0,1.0,100
mistral_base,multi_label_classification,conflicting_instruction,0.0,0.0,0.0,1.0,100
mistral_base,multi_label_classification,instruction_in_the_middle,0.0,0.0,0.0,1.0,100
mistral_base,multi_label_classification,irrelevant_prefix,0.0,0.0,0.0,1.0,100
mistral_base,multi_label_classification,irrelevant_suffix,0.0,0.0,0.0,1.0,100
mistral_base,multi_label_classification,length_stress,0.0,0.0,0.0,1.0,100
mistral_base,multi_label_classification,negation_distraction,0.0,0.0,0.0,1.0,100
mistral_base,multi_label_classification,style_distraction,0.0,0.0,0.0,1.0,100
mistral_base,rule_based_transformation,clean,0.0,0.0,0.0,0.99,100
mistral_base,rule_based_transformation,conflicting_instruction,0.0,0.0,0.0,1.0,100
mistral_base,rule_based_transformation,instruction_in_the_middle,0.0,0.0,0.0,1.0,100
mistral_base,rule_based_transformation,irrelevant_prefix,0.0,0.0,0.0,1.0,100
mistral_base,rule_based_transformation,irrelevant_suffix,0.0,0.0,0.0,1.0,100
mistral_base,rule_based_transformation,length_stress,0.0,0.0,0.0,0.99,100
mistral_base,rule_based_transformation,negation_distraction,0.0,0.0,0.0,1.0,100
mistral_base,rule_based_transformation,style_distraction,0.0,0.0,0.0,1.0,100
mistral_base,single_label_classification,clean,0.0,0.0,0.0,1.0,100
mistral_base,single_label_classification,conflicting_instruction,0.0,0.0,0.0,1.0,100
mistral_base,single_label_classification,instruction_in_the_middle,0.0,0.0,0.0,1.0,100
mistral_base,single_label_classification,irrelevant_prefix,0.0,0.0,0.0,1.0,100
mistral_base,single_label_classification,irrelevant_suffix,0.0,0.0,0.0,1.0,100
mistral_base,single_label_classification,length_stress,0.0,0.0,0.0,1.0,100
mistral_base,single_label_classification,negation_distraction,0.0,0.0,0.0,1.0,100
mistral_base,single_label_classification,style_distraction,0.0,0.0,0.0,1.0,100
mistral_instruct,extractive_qa,clean,0.94,0.95,0.01,0.0,100
mistral_instruct,extractive_qa,conflicting_instruction,0.53,0.53,0.0,0.34,100
mistral_instruct,extractive_qa,instruction_in_the_middle,0.88,0.9,0.02,0.0,100
mistral_instruct,extractive_qa,irrelevant_prefix,0.91,0.93,0.02,0.0,100
mistral_instruct,extractive_qa,irrelevant_suffix,0.9,0.93,0.03,0.0,100
mistral_instruct,extractive_qa,length_stress,0.91,0.91,0.0,0.0,100
mistral_instruct,extractive_qa,negation_distraction,0.89,0.89,0.0,0.0,100
mistral_instruct,extractive_qa,style_distraction,0.25,0.25,0.0,0.11,100
mistral_instruct,information_extraction,clean,0.99,0.99,0.0,0.0,100
mistral_instruct,information_extraction,conflicting_instruction,0.36,0.36,0.0,0.64,100
mistral_instruct,information_extraction,instruction_in_the_middle,0.97,0.97,0.0,0.0,100
mistral_instruct,information_extraction,irrelevant_prefix,1.0,1.0,0.0,0.0,100
mistral_instruct,information_extraction,irrelevant_suffix,0.94,0.94,0.0,0.0,100
mistral_instruct,information_extraction,length_stress,0.99,0.99,0.0,0.01,100
mistral_instruct,information_extraction,negation_distraction,0.99,0.99,0.0,0.0,100
mistral_instruct,information_extraction,style_distraction,0.16,0.16,0.0,0.78,100
mistral_instruct,multi_label_classification,clean,0.25,0.25,0.0,0.66,100
mistral_instruct,multi_label_classification,conflicting_instruction,0.16,0.16,0.0,0.84,100
mistral_instruct,multi_label_classification,instruction_in_the_middle,0.15,0.15,0.0,0.85,100
mistral_instruct,multi_label_classification,irrelevant_prefix,0.28,0.28,0.0,0.72,100
mistral_instruct,multi_label_classification,irrelevant_suffix,0.07,0.07,0.0,0.92,100
mistral_instruct,multi_label_classification,length_stress,0.22,0.22,0.0,0.78,100
mistral_instruct,multi_label_classification,negation_distraction,0.26,0.26,0.0,0.67,100
mistral_instruct,multi_label_classification,style_distraction,0.13,0.13,0.0,0.85,100
mistral_instruct,rule_based_transformation,clean,0.25,0.25,0.0,0.02,100
mistral_instruct,rule_based_transformation,conflicting_instruction,0.12,0.12,0.0,0.39,100
mistral_instruct,rule_based_transformation,instruction_in_the_middle,0.23,0.23,0.0,0.01,100
mistral_instruct,rule_based_transformation,irrelevant_prefix,0.25,0.25,0.0,0.03,100
mistral_instruct,rule_based_transformation,irrelevant_suffix,0.17,0.17,0.0,0.03,100
mistral_instruct,rule_based_transformation,length_stress,0.27,0.27,0.0,0.02,100
mistral_instruct,rule_based_transformation,negation_distraction,0.25,0.25,0.0,0.01,100
mistral_instruct,rule_based_transformation,style_distraction,0.08,0.08,0.0,0.09,100
mistral_instruct,single_label_classification,clean,0.98,0.98,0.0,0.02,100
mistral_instruct,single_label_classification,conflicting_instruction,0.62,0.62,0.0,0.38,100
mistral_instruct,single_label_classification,instruction_in_the_middle,0.94,0.94,0.0,0.06,100
mistral_instruct,single_label_classification,irrelevant_prefix,0.96,0.96,0.0,0.04,100
mistral_instruct,single_label_classification,irrelevant_suffix,0.94,0.94,0.0,0.06,100
mistral_instruct,single_label_classification,length_stress,0.98,0.98,0.0,0.02,100
mistral_instruct,single_label_classification,negation_distraction,0.99,0.99,0.0,0.01,100
mistral_instruct,single_label_classification,style_distraction,0.56,0.56,0.0,0.44,100
qwen14b,extractive_qa,clean,0.79,1.0,0.21,0.0,100
qwen14b,extractive_qa,conflicting_instruction,0.45,0.55,0.1,0.28,100
qwen14b,extractive_qa,instruction_in_the_middle,0.82,1.0,0.18,0.0,100
qwen14b,extractive_qa,irrelevant_prefix,0.8,1.0,0.2,0.0,100
qwen14b,extractive_qa,irrelevant_suffix,0.8,1.0,0.2,0.0,100
qwen14b,extractive_qa,length_stress,0.83,1.0,0.17,0.0,100
qwen14b,extractive_qa,negation_distraction,0.89,1.0,0.11,0.0,100
qwen14b,extractive_qa,style_distraction,0.16,0.34,0.18,0.04,100
qwen14b,information_extraction,clean,0.99,0.99,0.0,0.0,100
qwen14b,information_extraction,conflicting_instruction,0.62,0.62,0.0,0.37,100
qwen14b,information_extraction,instruction_in_the_middle,0.97,0.97,0.0,0.0,100
qwen14b,information_extraction,irrelevant_prefix,0.96,0.96,0.0,0.0,100
qwen14b,information_extraction,irrelevant_suffix,0.99,0.99,0.0,0.0,100
qwen14b,information_extraction,length_stress,0.97,0.97,0.0,0.0,100
qwen14b,information_extraction,negation_distraction,0.99,0.99,0.0,0.0,100
qwen14b,information_extraction,style_distraction,0.86,0.86,0.0,0.0,100
qwen14b,multi_label_classification,clean,0.42,0.42,0.0,0.58,100
qwen14b,multi_label_classification,conflicting_instruction,0.39,0.39,0.0,0.61,100
qwen14b,multi_label_classification,instruction_in_the_middle,0.34,0.34,0.0,0.63,100
qwen14b,multi_label_classification,irrelevant_prefix,0.35,0.35,0.0,0.65,100
qwen14b,multi_label_classification,irrelevant_suffix,0.37,0.37,0.0,0.63,100
qwen14b,multi_label_classification,length_stress,0.4,0.4,0.0,0.6,100
qwen14b,multi_label_classification,negation_distraction,0.4,0.4,0.0,0.57,100
qwen14b,multi_label_classification,style_distraction,0.41,0.41,0.0,0.59,100
qwen14b,rule_based_transformation,clean,0.5,0.5,0.0,0.01,100
qwen14b,rule_based_transformation,conflicting_instruction,0.3,0.3,0.0,0.21,100
qwen14b,rule_based_transformation,instruction_in_the_middle,0.34,0.34,0.0,0.03,100
qwen14b,rule_based_transformation,irrelevant_prefix,0.42,0.42,0.0,0.02,100
qwen14b,rule_based_transformation,irrelevant_suffix,0.3,0.3,0.0,0.02,100
qwen14b,rule_based_transformation,length_stress,0.51,0.51,0.0,0.06,100
qwen14b,rule_based_transformation,negation_distraction,0.46,0.46,0.0,0.0,100
qwen14b,rule_based_transformation,style_distraction,0.3,0.3,0.0,0.0,100
qwen14b,single_label_classification,clean,0.97,0.97,0.0,0.03,100
qwen14b,single_label_classification,conflicting_instruction,0.73,0.73,0.0,0.27,100
qwen14b,single_label_classification,instruction_in_the_middle,0.85,0.85,0.0,0.15,100
qwen14b,single_label_classification,irrelevant_prefix,0.96,0.96,0.0,0.04,100
qwen14b,single_label_classification,irrelevant_suffix,0.88,0.88,0.0,0.12,100
qwen14b,single_label_classification,length_stress,0.98,0.98,0.0,0.02,100
qwen14b,single_label_classification,negation_distraction,0.95,0.95,0.0,0.05,100
qwen14b,single_label_classification,style_distraction,0.97,0.97,0.0,0.03,100
qwen7b,extractive_qa,clean,0.82,1.0,0.18,0.0,100
qwen7b,extractive_qa,conflicting_instruction,0.62,0.79,0.17,0.11,100
qwen7b,extractive_qa,instruction_in_the_middle,0.68,0.75,0.07,0.0,100
qwen7b,extractive_qa,irrelevant_prefix,0.77,0.97,0.2,0.0,100
qwen7b,extractive_qa,irrelevant_suffix,0.85,0.97,0.12,0.0,100
qwen7b,extractive_qa,length_stress,0.79,0.97,0.18,0.0,100
qwen7b,extractive_qa,negation_distraction,0.87,1.0,0.13,0.0,100
qwen7b,extractive_qa,style_distraction,0.16,0.2,0.04,0.01,100
qwen7b,information_extraction,clean,0.99,0.99,0.0,0.0,100
qwen7b,information_extraction,conflicting_instruction,0.62,0.62,0.0,0.37,100
qwen7b,information_extraction,instruction_in_the_middle,0.93,0.93,0.0,0.0,100
qwen7b,information_extraction,irrelevant_prefix,0.93,0.93,0.0,0.0,100
qwen7b,information_extraction,irrelevant_suffix,0.97,0.97,0.0,0.0,100
qwen7b,information_extraction,length_stress,1.0,1.0,0.0,0.0,100
qwen7b,information_extraction,negation_distraction,0.87,0.87,0.0,0.0,100
qwen7b,information_extraction,style_distraction,0.88,0.88,0.0,0.0,100
qwen7b,multi_label_classification,clean,0.45,0.45,0.0,0.54,100
qwen7b,multi_label_classification,conflicting_instruction,0.35,0.35,0.0,0.62,100
qwen7b,multi_label_classification,instruction_in_the_middle,0.26,0.26,0.0,0.65,100
qwen7b,multi_label_classification,irrelevant_prefix,0.48,0.48,0.0,0.51,100
qwen7b,multi_label_classification,irrelevant_suffix,0.37,0.37,0.0,0.58,100
qwen7b,multi_label_classification,length_stress,0.39,0.39,0.0,0.58,100
qwen7b,multi_label_classification,negation_distraction,0.4,0.4,0.0,0.59,100
qwen7b,multi_label_classification,style_distraction,0.42,0.42,0.0,0.58,100
qwen7b,rule_based_transformation,clean,0.46,0.46,0.0,0.06,100
qwen7b,rule_based_transformation,conflicting_instruction,0.33,0.33,0.0,0.16,100
qwen7b,rule_based_transformation,instruction_in_the_middle,0.32,0.32,0.0,0.07,100
qwen7b,rule_based_transformation,irrelevant_prefix,0.37,0.37,0.0,0.09,100
qwen7b,rule_based_transformation,irrelevant_suffix,0.35,0.35,0.0,0.05,100
qwen7b,rule_based_transformation,length_stress,0.36,0.36,0.0,0.06,100
qwen7b,rule_based_transformation,negation_distraction,0.37,0.37,0.0,0.04,100
qwen7b,rule_based_transformation,style_distraction,0.32,0.32,0.0,0.09,100
qwen7b,single_label_classification,clean,0.98,0.98,0.0,0.02,100
qwen7b,single_label_classification,conflicting_instruction,0.8,0.8,0.0,0.2,100
qwen7b,single_label_classification,instruction_in_the_middle,0.84,0.84,0.0,0.16,100
qwen7b,single_label_classification,irrelevant_prefix,0.93,0.93,0.0,0.07,100
qwen7b,single_label_classification,irrelevant_suffix,0.91,0.91,0.0,0.09,100
qwen7b,single_label_classification,length_stress,0.96,0.96,0.0,0.04,100
qwen7b,single_label_classification,negation_distraction,0.95,0.95,0.0,0.05,100
qwen7b,single_label_classification,style_distraction,0.91,0.91,0.0,0.09,100
