model,distraction_type,qa_failure_category,count
mistral_instruct,irrelevant_suffix,strict_correct,90
mistral_instruct,irrelevant_suffix,span_inflation_contains_gold,6
mistral_instruct,irrelevant_suffix,span_boundary_near_miss,3
mistral_instruct,irrelevant_suffix,wrong_span,1
mistral_instruct,length_stress,strict_correct,91
mistral_instruct,length_stress,wrong_span,5
mistral_instruct,length_stress,span_inflation_contains_gold,4
mistral_instruct,negation_distraction,strict_correct,89
mistral_instruct,negation_distraction,span_inflation_contains_gold,10
mistral_instruct,negation_distraction,wrong_span,1
mistral_instruct,style_distraction,span_inflation_contains_gold,64
mistral_instruct,style_distraction,strict_correct,25
mistral_instruct,style_distraction,invalid_json_or_extra_text,11
qwen14b,clean,strict_correct,79
qwen14b,clean,span_boundary_near_miss,21
qwen14b,conflicting_instruction,strict_correct,45
qwen14b,conflicting_instruction,invalid_json_or_extra_text,20
qwen14b,conflicting_instruction,span_inflation_contains_gold,14
qwen14b,conflicting_instruction,span_boundary_near_miss,10
qwen14b,conflicting_instruction,schema_violation,8
qwen14b,conflicting_instruction,wrong_span,3
qwen14b,instruction_in_the_middle,strict_correct,82
qwen14b,instruction_in_the_middle,span_boundary_near_miss,18
qwen14b,irrelevant_prefix,strict_correct,80
qwen14b,irrelevant_prefix,span_boundary_near_miss,20
qwen14b,irrelevant_suffix,strict_correct,80
qwen14b,irrelevant_suffix,span_boundary_near_miss,20
qwen14b,length_stress,strict_correct,83
qwen14b,length_stress,span_boundary_near_miss,17
qwen14b,negation_distraction,strict_correct,89
qwen14b,negation_distraction,span_boundary_near_miss,11
qwen14b,style_distraction,span_inflation_contains_gold,62
qwen14b,style_distraction,span_boundary_near_miss,18
qwen14b,style_distraction,strict_correct,16
qwen14b,style_distraction,invalid_json_or_extra_text,4
qwen7b,clean,strict_correct,82
qwen7b,clean,span_boundary_near_miss,18
qwen7b,conflicting_instruction,strict_correct,62
qwen7b,conflicting_instruction,span_boundary_near_miss,17
qwen7b,conflicting_instruction,schema_violation,8
qwen7b,conflicting_instruction,wrong_span,6
qwen7b,conflicting_instruction,span_inflation_contains_gold,4
qwen7b,conflicting_instruction,invalid_json_or_extra_text,3
qwen7b,instruction_in_the_middle,strict_correct,68
qwen7b,instruction_in_the_middle,empty_answer,22
qwen7b,instruction_in_the_middle,span_boundary_near_miss,7
qwen7b,instruction_in_the_middle,span_inflation_contains_gold,3
qwen7b,irrelevant_prefix,strict_correct,77
qwen7b,irrelevant_prefix,span_boundary_near_miss,20
qwen7b,irrelevant_prefix,empty_answer,2
qwen7b,irrelevant_prefix,span_inflation_contains_gold,1
qwen7b,irrelevant_suffix,strict_correct,85
qwen7b,irrelevant_suffix,span_boundary_near_miss,12
qwen7b,irrelevant_suffix,empty_answer,2
qwen7b,irrelevant_suffix,span_inflation_contains_gold,1
qwen7b,length_stress,strict_correct,79
qwen7b,length_stress,span_boundary_near_miss,18
qwen7b,length_stress,empty_answer,3
qwen7b,negation_distraction,strict_correct,87
qwen7b,negation_distraction,span_boundary_near_miss,13
qwen7b,style_distraction,span_inflation_contains_gold,78
qwen7b,style_distraction,strict_correct,16
qwen7b,style_distraction,span_boundary_near_miss,4
qwen7b,style_distraction,invalid_json_or_extra_text,1
qwen7b,style_distraction,wrong_span,1
