model,distraction_type,suggested_failure_mode,count
llama,length_stress,invalid_json_or_extra_text,2
llama,length_stress,wrong_label_set,1
llama,negation_distraction,transformation_mismatch,71
llama,negation_distraction,invalid_label,55
llama,negation_distraction,span_inflation,16
llama,negation_distraction,entity_or_field_mismatch,12
llama,negation_distraction,invalid_json_or_extra_text,1
llama,style_distraction,transformation_mismatch,60
llama,style_distraction,invalid_json_or_extra_text,54
llama,style_distraction,span_inflation,30
llama,style_distraction,invalid_label,26
llama,style_distraction,entity_or_field_mismatch,5
llama,style_distraction,wrong_label_set,3
llama,style_distraction,schema_violation,1
llama,style_distraction,wrong_span,1
mistral_base,clean,invalid_json_or_extra_text,459
mistral_base,clean,parse_failure_empty_output,40
mistral_base,clean,transformation_mismatch,1
mistral_base,conflicting_instruction,invalid_json_or_extra_text,481
mistral_base,conflicting_instruction,parse_failure_empty_output,19
mistral_base,instruction_in_the_middle,invalid_json_or_extra_text,493
mistral_base,instruction_in_the_middle,parse_failure_empty_output,7
mistral_base,irrelevant_prefix,invalid_json_or_extra_text,485
mistral_base,irrelevant_prefix,parse_failure_empty_output,15
mistral_base,irrelevant_suffix,invalid_json_or_extra_text,485
mistral_base,irrelevant_suffix,parse_failure_empty_output,15
mistral_base,length_stress,invalid_json_or_extra_text,488
mistral_base,length_stress,parse_failure_empty_output,11
mistral_base,length_stress,transformation_mismatch,1
mistral_base,negation_distraction,invalid_json_or_extra_text,495
mistral_base,negation_distraction,parse_failure_empty_output,5
mistral_base,style_distraction,invalid_json_or_extra_text,500
mistral_instruct,clean,transformation_mismatch,73
mistral_instruct,clean,invalid_label,68
mistral_instruct,clean,wrong_label_set,9
mistral_instruct,clean,span_inflation,4
mistral_instruct,clean,invalid_json_or_extra_text,2
mistral_instruct,clean,wrong_span,2
mistral_instruct,clean,entity_or_field_mismatch,1
mistral_instruct,conflicting_instruction,invalid_json_or_extra_text,170
mistral_instruct,conflicting_instruction,transformation_mismatch,49
mistral_instruct,conflicting_instruction,invalid_label,46
mistral_instruct,conflicting_instruction,schema_violation,43
mistral_instruct,conflicting_instruction,span_inflation,10
mistral_instruct,conflicting_instruction,wrong_span,3
mistral_instruct,instruction_in_the_middle,invalid_label,90
mistral_instruct,instruction_in_the_middle,transformation_mismatch,76
mistral_instruct,instruction_in_the_middle,span_inflation,7
mistral_instruct,instruction_in_the_middle,entity_or_field_mismatch,3
mistral_instruct,instruction_in_the_middle,wrong_span,3
mistral_instruct,instruction_in_the_middle,case_or_surface_mismatch,2
mistral_instruct,instruction_in_the_middle,invalid_json_or_extra_text,2
mistral_instruct,irrelevant_prefix,invalid_label,75
mistral_instruct,irrelevant_prefix,transformation_mismatch,72
mistral_instruct,irrelevant_prefix,span_inflation,5
mistral_instruct,irrelevant_prefix,invalid_json_or_extra_text,3
mistral_instruct,irrelevant_prefix,case_or_surface_mismatch,2
mistral_instruct,irrelevant_prefix,wrong_span,2
mistral_instruct,irrelevant_prefix,schema_violation,1
mistral_instruct,irrelevant_suffix,invalid_label,97
mistral_instruct,irrelevant_suffix,transformation_mismatch,80
mistral_instruct,irrelevant_suffix,span_inflation,7
mistral_instruct,irrelevant_suffix,entity_or_field_mismatch,6
mistral_instruct,irrelevant_suffix,invalid_json_or_extra_text,4
mistral_instruct,irrelevant_suffix,case_or_surface_mismatch,2
mistral_instruct,irrelevant_suffix,wrong_label_set,1
mistral_instruct,irrelevant_suffix,wrong_span,1
mistral_instruct,length_stress,invalid_label,80
mistral_instruct,length_stress,transformation_mismatch,71
mistral_instruct,length_stress,wrong_span,5
mistral_instruct,length_stress,span_inflation,4
mistral_instruct,length_stress,invalid_json_or_extra_text,3
mistral_instruct,negation_distraction,transformation_mismatch,74
mistral_instruct,negation_distraction,invalid_label,68
mistral_instruct,negation_distraction,span_inflation,10
mistral_instruct,negation_distraction,wrong_label_set,7
mistral_instruct,negation_distraction,entity_or_field_mismatch,1
mistral_instruct,negation_distraction,invalid_json_or_extra_text,1
mistral_instruct,negation_distraction,wrong_span,1
mistral_instruct,style_distraction,invalid_json_or_extra_text,178
mistral_instruct,style_distraction,transformation_mismatch,83
mistral_instruct,style_distraction,span_inflation,64
mistral_instruct,style_distraction,invalid_label,48
mistral_instruct,style_distraction,entity_or_field_mismatch,6
mistral_instruct,style_distraction,wrong_label_set,2
mistral_instruct,style_distraction,schema_violation,1
qwen14b,clean,invalid_label,61
qwen14b,clean,transformation_mismatch,49
qwen14b,clean,span_inflation,21
qwen14b,clean,entity_or_field_mismatch,1
qwen14b,clean,invalid_json_or_extra_text,1
qwen14b,conflicting_instruction,invalid_json_or_extra_text,73
qwen14b,conflicting_instruction,invalid_label,52
qwen14b,conflicting_instruction,schema_violation,49
qwen14b,conflicting_instruction,transformation_mismatch,49
qwen14b,conflicting_instruction,span_inflation,24
qwen14b,conflicting_instruction,wrong_span,3
qwen14b,conflicting_instruction,entity_or_field_mismatch,1
qwen14b,instruction_in_the_middle,invalid_label,78
qwen14b,instruction_in_the_middle,transformation_mismatch,63
qwen14b,instruction_in_the_middle,span_inflation,18
qwen14b,instruction_in_the_middle,entity_or_field_mismatch,3
qwen14b,instruction_in_the_middle,invalid_json_or_extra_text,3
qwen14b,instruction_in_the_middle,wrong_label_set,3
qwen14b,irrelevant_prefix,invalid_label,69
qwen14b,irrelevant_prefix,transformation_mismatch,56
qwen14b,irrelevant_prefix,span_inflation,20
qwen14b,irrelevant_prefix,entity_or_field_mismatch,4
qwen14b,irrelevant_prefix,invalid_json_or_extra_text,2
qwen14b,irrelevant_suffix,invalid_label,75
qwen14b,irrelevant_suffix,transformation_mismatch,68
qwen14b,irrelevant_suffix,span_inflation,20
qwen14b,irrelevant_suffix,invalid_json_or_extra_text,2
qwen14b,irrelevant_suffix,entity_or_field_mismatch,1
qwen14b,length_stress,invalid_label,62
qwen14b,length_stress,transformation_mismatch,43
qwen14b,length_stress,span_inflation,17
qwen14b,length_stress,invalid_json_or_extra_text,6
qwen14b,length_stress,entity_or_field_mismatch,3
qwen14b,negation_distraction,invalid_label,62
qwen14b,negation_distraction,transformation_mismatch,54
qwen14b,negation_distraction,span_inflation,11
qwen14b,negation_distraction,wrong_label_set,3
qwen14b,negation_distraction,entity_or_field_mismatch,1
qwen14b,style_distraction,span_inflation,80
qwen14b,style_distraction,transformation_mismatch,70
qwen14b,style_distraction,invalid_label,62
qwen14b,style_distraction,entity_or_field_mismatch,14
qwen14b,style_distraction,invalid_json_or_extra_text,4
qwen7b,clean,invalid_label,56
qwen7b,clean,transformation_mismatch,48
qwen7b,clean,span_inflation,18
qwen7b,clean,invalid_json_or_extra_text,6
qwen7b,clean,entity_or_field_mismatch,1
qwen7b,clean,wrong_label_set,1
qwen7b,conflicting_instruction,schema_violation,58
qwen7b,conflicting_instruction,invalid_label,55
qwen7b,conflicting_instruction,transformation_mismatch,51
qwen7b,conflicting_instruction,invalid_json_or_extra_text,33
qwen7b,conflicting_instruction,span_inflation,21
qwen7b,conflicting_instruction,wrong_span,6
qwen7b,conflicting_instruction,wrong_label_set,3
qwen7b,conflicting_instruction,entity_or_field_mismatch,1
qwen7b,instruction_in_the_middle,invalid_label,81
qwen7b,instruction_in_the_middle,transformation_mismatch,61
qwen7b,instruction_in_the_middle,empty_answer,22
qwen7b,instruction_in_the_middle,span_inflation,10
qwen7b,instruction_in_the_middle,wrong_label_set,9
qwen7b,instruction_in_the_middle,entity_or_field_mismatch,7
qwen7b,instruction_in_the_middle,invalid_json_or_extra_text,7
qwen7b,irrelevant_prefix,invalid_label,58
qwen7b,irrelevant_prefix,transformation_mismatch,54
qwen7b,irrelevant_prefix,span_inflation,21
qwen7b,irrelevant_prefix,invalid_json_or_extra_text,9
qwen7b,irrelevant_prefix,entity_or_field_mismatch,7
qwen7b,irrelevant_prefix,empty_answer,2
qwen7b,irrelevant_prefix,wrong_label_set,1
qwen7b,irrelevant_suffix,invalid_label,67
qwen7b,irrelevant_suffix,transformation_mismatch,60
qwen7b,irrelevant_suffix,span_inflation,13
qwen7b,irrelevant_suffix,invalid_json_or_extra_text,5
qwen7b,irrelevant_suffix,wrong_label_set,5
qwen7b,irrelevant_suffix,entity_or_field_mismatch,3
qwen7b,irrelevant_suffix,empty_answer,2
qwen7b,length_stress,invalid_label,62
qwen7b,length_stress,transformation_mismatch,58
qwen7b,length_stress,span_inflation,17
qwen7b,length_stress,invalid_json_or_extra_text,6
qwen7b,length_stress,empty_answer,3
qwen7b,length_stress,wrong_label_set,3
qwen7b,length_stress,case_or_surface_mismatch,1
qwen7b,negation_distraction,invalid_label,64
qwen7b,negation_distraction,transformation_mismatch,59
qwen7b,negation_distraction,entity_or_field_mismatch,13
qwen7b,negation_distraction,span_inflation,13
qwen7b,negation_distraction,invalid_json_or_extra_text,4
qwen7b,negation_distraction,wrong_label_set,1
qwen7b,style_distraction,span_inflation,80
qwen7b,style_distraction,invalid_label,67
qwen7b,style_distraction,transformation_mismatch,59
qwen7b,style_distraction,entity_or_field_mismatch,12
qwen7b,style_distraction,invalid_json_or_extra_text,10
qwen7b,style_distraction,wrong_span,3
